Serpentine Scan Parameters
X Total Distance (mm),16
Y Total Distance (mm),16
Step Size (mm),0.5
Start from Center,True

Step Number,X Position (mm),Y Position (mm)
0,315.172119140625,427.0818328857422
1,315.6502342224121,427.0827102661133
2,316.1521530151367,427.0829391479492
3,316.66296005249023,427.0824432373047
4,317.155704498291,427.0823669433594
5,317.67284393310547,427.0828628540039
6,318.16478729248047,427.0826721191406
7,318.6612892150879,427.0825958251953
8,319.1772270202637,427.08263397216797
9,319.6689033508301,427.0830535888672
10,320.17696380615234,427.0826721191406
11,320.66890716552734,427.08263397216797
12,321.15272521972656,427.08263397216797
13,321.6722106933594,427.08251953125
14,322.1612548828125,427.08274841308594
15,322.67200469970703,427.08229064941406
16,323.16802978515625,427.08229064941406
17,323.65943908691406,427.08274841308594
18,324.17919158935547,427.08309173583984
19,324.6710205078125,427.08251953125
20,325.1780700683594,427.0825958251953
21,325.6694793701172,427.08240509033203
22,326.1549758911133,427.08301544189453
23,326.67449951171875,427.08229064941406
24,327.1619415283203,427.0820999145508
25,327.6724624633789,427.08240509033203
26,328.1675338745117,427.0824432373047
27,328.6592483520508,427.08274841308594
28,329.1788864135742,427.0828628540039
29,329.6697998046875,427.08274841308594
30,330.17826080322266,427.0827102661133
31,330.67081451416016,427.08251953125
32,331.15482330322266,427.0829772949219
33,331.19808197021484,427.572021484375
34,330.736083984375,427.85675048828125
35,330.2080535888672,427.80994415283203
36,329.69947814941406,427.43019104003906
37,329.178466796875,427.4441909790039
38,328.6968994140625,427.47230529785156
39,328.1810760498047,427.4782180786133
40,327.66605377197266,427.4808883666992
41,327.18379974365234,427.48268127441406
42,326.67369842529297,427.4847412109375
43,326.13956451416016,427.4919128417969
44,325.6621551513672,427.50003814697266
45,325.15769958496094,427.51365661621094
46,324.6649932861328,427.51758575439453
47,324.1632080078125,427.55420684814453
48,323.65623474121094,427.8999328613281
49,323.17211151123047,427.87914276123047
50,322.65594482421875,427.8611755371094
51,322.1726608276367,427.85037994384766
52,321.66927337646484,427.57843017578125
53,321.1409378051758,427.35267639160156
54,320.67962646484375,427.3564147949219
55,320.1615905761719,427.3622131347656
56,319.6782112121582,427.3735809326172
57,319.17001724243164,427.6393508911133
58,318.67504119873047,427.63927459716797
59,318.17718505859375,427.6388168334961
60,317.65514373779297,427.6388168334961
61,317.1756172180176,427.63805389404297
62,316.6691207885742,427.6376724243164
63,316.14397048950195,427.63111114501953
64,315.6778907775879,427.6207733154297
65,315.1627540588379,427.6185607910156
66,315.16496658325195,428.1064224243164
67,315.6554985046387,428.106689453125
68,316.1538505554199,428.1062698364258
69,316.6547203063965,428.1062316894531
70,317.1517753601074,428.10691833496094
71,317.67066955566406,428.10604095458984
72,318.1615447998047,428.1057357788086
73,318.6590766906738,428.1058120727539
74,319.17415618896484,428.10558319091797
75,319.66846466064453,428.1053924560547
76,320.1786804199219,428.1053161621094
77,320.6673049926758,428.10420989990234
78,321.15245819091797,428.10367584228516
79,321.67125701904297,428.10302734375
80,322.1607971191406,428.1028747558594
81,322.6725387573242,428.1019973754883
82,323.1686782836914,428.10096740722656
83,323.65894317626953,428.0999755859375
84,324.17938232421875,428.0992889404297
85,324.6691131591797,428.09764862060547
86,325.18028259277344,428.09661865234375
87,325.6705856323242,428.09520721435547
88,326.15478515625,428.0940628051758
89,326.6747283935547,428.0931091308594
90,327.1630859375,428.0912399291992
91,327.67356872558594,427.83660888671875
92,328.16864013671875,427.85327911376953
93,328.65943908691406,427.8605270385742
94,329.1777801513672,427.8683853149414
95,329.67132568359375,427.8948974609375
96,330.17772674560547,427.9042053222656
97,330.6709289550781,428.29105377197266
98,331.1549758911133,428.4618377685547
99,331.1666488647461,428.5866165161133
100,330.66429138183594,428.58665466308594
101,330.157470703125,428.5866165161133
102,329.6598815917969,428.5863494873047
103,329.16149139404297,428.58646392822266
104,328.65535736083984,428.58631134033203
105,328.1709671020508,428.58585357666016
106,327.65228271484375,428.5860061645508
107,327.1722412109375,428.5862350463867
108,326.66759490966797,428.58619689941406
109,326.20452880859375,428.58638763427734
110,325.6707000732422,428.58612060546875
111,325.1588821411133,428.58570098876953
112,324.67098236083984,428.58585357666016
113,324.1642379760742,428.58604431152344
114,323.6695098876953,428.5860061645508
115,323.1737518310547,428.58612060546875
116,322.6543426513672,428.5859680175781
117,322.1749496459961,428.5860061645508
118,321.66900634765625,428.5858917236328
119,321.207275390625,428.5856628417969
120,320.6733703613281,428.58592987060547
121,320.1591491699219,428.58516693115234
122,319.659481048584,428.5860061645508
123,319.1665458679199,428.58497619628906
124,318.66153717041016,428.58551025390625
125,318.175048828125,428.58509063720703
126,317.6569366455078,428.58524322509766
127,317.1761703491211,428.5849380493164
128,316.6682434082031,428.5847854614258
129,316.14328384399414,428.58531951904297
130,315.6744194030762,428.58402252197266
131,315.1581001281738,428.5849380493164
132,315.1645088195801,429.0489959716797
133,315.63995361328125,429.0504455566406
134,316.153507232666,429.0510559082031
135,316.65252685546875,429.05296325683594
136,317.1502685546875,429.0543746948242
137,317.6686477661133,429.0576934814453
138,318.1606674194336,429.06211853027344
139,318.6574935913086,429.0675354003906
140,319.17516708374023,429.08145904541016
141,319.66808319091797,429.0813446044922
142,320.17974853515625,429.08191680908203
143,320.6654739379883,429.08226013183594
144,321.15245819091797,429.0819549560547
145,321.6712188720703,429.0824890136719
146,322.16060638427734,429.0821075439453
147,322.6728057861328,429.0825653076172
148,323.1681823730469,429.0827178955078
149,323.6592483520508,429.08241271972656
150,324.17675018310547,429.0827941894531
151,324.6706771850586,429.0821075439453
152,325.17833709716797,429.0825653076172
153,325.6697463989258,429.08233642578125
154,326.1538314819336,429.0821838378906
155,326.6758728027344,429.08267974853516
156,327.16346740722656,429.0822982788086
157,327.67284393310547,429.0824508666992
158,328.1676483154297,429.0827178955078
159,328.6597442626953,429.0824890136719
160,329.1789245605469,429.0823745727539
161,329.6704864501953,429.0830612182617
162,330.18001556396484,429.08294677734375
163,330.6714630126953,429.0830612182617
164,331.1551284790039,429.0822219848633
165,331.15673065185547,429.5564270019531
166,330.6578826904297,429.6194839477539
167,330.1599884033203,429.61795806884766
168,329.66121673583984,429.6141815185547
169,329.1618347167969,429.6091842651367
170,328.6553955078125,429.6041488647461
171,328.1666564941406,429.60296630859375
172,327.6523208618164,429.6004867553711
173,327.15633392333984,429.5995330810547
174,326.6672897338867,429.5979309082031
175,326.1445617675781,429.59667205810547
176,325.68164825439453,429.59632873535156
177,325.1680374145508,429.5949935913086
178,324.67830657958984,429.5933151245117
179,324.1699981689453,429.5915985107422
180,323.67488861083984,429.5899200439453
181,323.1752014160156,429.58728790283203
182,322.65674591064453,429.56920623779297
183,322.1781921386719,429.5694351196289
184,321.6710662841797,429.5694351196289
185,321.1415481567383,429.5698928833008
186,320.65799713134766,429.5698547363281
187,320.15647888183594,429.56981658935547
188,319.6593475341797,429.57042694091797
189,319.16114807128906,429.5701599121094
190,318.6504554748535,429.57008361816406
191,318.17100524902344,429.5703887939453
192,317.6530075073242,429.5705795288086
193,317.1691131591797,429.57061767578125
194,316.6683578491211,429.57035064697266
195,316.13758087158203,429.5709228515625
196,315.6624984741211,429.57103729248047
197,315.16834259033203,429.57157135009766
198,315.1655387878418,430.04425048828125
199,315.6332588195801,430.43663024902344
