Serpentine Scan Parameters
X Total Distance (mm),24
Y Total Distance (mm),24
Step Size (mm),0.5
Start from Center,True

Step Number,X Position (mm),Y Position (mm)
0,315.16666412353516,427.0067596435547
1,315.6460189819336,427.0069122314453
2,316.1634635925293,427.01663970947266
3,316.6560363769531,427.0860290527344
4,317.15065002441406,427.0854187011719
5,317.6728630065918,427.0854187011719
6,318.1659698486328,427.0845413208008
7,318.67273330688477,427.0845031738281
8,319.1695785522461,427.08412170410156
9,319.652099609375,427.0833969116211
10,320.1735305786133,427.0827102661133
11,320.65731048583984,427.0818328857422
12,321.1668014526367,427.081298828125
13,321.66614532470703,427.08030700683594
14,322.1586608886719,427.0789337158203
15,322.6844787597656,427.07794189453125
16,323.1665802001953,427.0769500732422
17,323.67210388183594,427.0747375488281
18,324.17388916015625,427.0717239379883
19,324.65747833251953,427.0663833618164
20,325.17574310302734,427.0545196533203
21,325.6582260131836,427.05432891845703
22,326.17103576660156,427.0540237426758
23,326.6691589355469,427.0541763305664
24,327.15885162353516,427.05455780029297
25,327.68299102783203,427.05455780029297
26,328.1675720214844,427.05421447753906
27,328.6721420288086,427.05440521240234
28,329.1724395751953,427.0540237426758
29,329.65702056884766,427.0539855957031
30,330.17250061035156,427.05482482910156
31,330.6591796875,427.0543670654297
32,331.16809844970703,427.05448150634766
33,331.66778564453125,427.0545959472656
34,332.16285705566406,427.0541763305664
35,332.68321990966797,427.05455780029297
36,333.16688537597656,427.0541000366211
37,333.67008209228516,427.054443359375
38,334.1714096069336,427.05413818359375
39,334.65904235839844,427.05474853515625
40,335.1740264892578,427.0541000366211
41,335.65940856933594,427.05467224121094
42,336.16512298583984,427.054443359375
43,336.66919708251953,427.0547103881836
44,337.15694427490234,427.0547103881836
45,337.68028259277344,427.05474853515625
46,338.1673812866211,427.05474853515625
47,338.6738586425781,427.05448150634766
48,339.17224884033203,427.05474853515625
49,339.17205810546875,427.58129119873047
50,338.6552429199219,427.48802185058594
51,338.16497802734375,427.48828887939453
52,337.65926361083984,427.4886703491211
53,337.15858459472656,427.4903869628906
54,336.6692352294922,427.4913024902344
55,336.17069244384766,427.49340057373047
56,335.69183349609375,427.49488830566406
57,335.1894760131836,427.49603271484375
58,334.68509674072266,427.9694366455078
59,334.14791107177734,427.9606628417969
60,333.6466979980469,427.5639343261719
61,333.1647491455078,427.4525833129883
62,332.6611328125,427.4583435058594
63,332.1804428100586,427.4615478515625
64,331.65843963623047,427.4644470214844
65,331.1471939086914,427.4663543701172
66,330.68458557128906,427.46776580810547
67,330.1948928833008,427.46978759765625
68,329.6755599975586,427.4832534790039
69,329.1460418701172,427.4957275390625
70,328.64585876464844,427.50038146972656
71,328.1513214111328,427.5078582763672
72,327.65907287597656,427.8812789916992
73,327.1807861328125,427.86998748779297
74,326.67198181152344,427.8459167480469
75,326.14524841308594,427.83679962158203
76,325.6895065307617,427.6752471923828
77,325.1837921142578,427.4139404296875
78,324.6240234375,427.4640655517578
79,324.1532897949219,427.46665954589844
80,323.64688873291016,427.4684143066406
81,323.1528091430664,427.4695587158203
82,322.65316009521484,427.4725341796875
83,322.188720703125,427.47615814208984
84,321.67247772216797,427.48085021972656
85,321.1790084838867,427.48779296875
86,320.6776809692383,427.4986267089844
87,320.1812744140625,427.5025177001953
88,319.62244033813477,427.8397750854492
89,319.14546966552734,427.77774810791016
90,318.6474800109863,427.33375549316406
91,318.1692886352539,427.33646392822266
92,317.65907287597656,427.3411178588867
93,317.17004776000977,427.3476028442383
94,316.66446685791016,427.3737335205078
95,316.18038177490234,427.62264251708984
96,315.68370819091797,427.6224136352539
97,315.1837348937988,427.6222229003906
98,315.1532554626465,428.0850601196289
99,315.6196975708008,428.0892562866211
100,316.1223030090332,428.0891418457031
101,316.64405822753906,428.0889892578125
102,317.149658203125,428.08910369873047
103,317.66597747802734,428.08876037597656
104,318.1596374511719,428.0877685546875
105,318.6673164367676,428.08765411376953
106,319.16290283203125,428.08677673339844
107,319.65484619140625,428.08631896972656
108,320.16780853271484,428.0859375
109,320.6583786010742,428.0845260620117
110,321.16283416748047,428.0827331542969
111,321.6642761230469,428.08170318603516
112,322.15904235839844,428.0796432495117
113,322.68165588378906,428.0775833129883
114,323.1695556640625,428.0029296875
115,323.67149353027344,427.83294677734375
116,324.1720199584961,427.8422164916992
117,324.65694427490234,427.8486633300781
118,325.17398834228516,427.8607940673828
119,325.6578063964844,427.8860855102539
120,326.1669921875,427.8936004638672
121,326.66805267333984,428.4491729736328
122,327.15797424316406,428.41793060302734
123,327.68070220947266,428.0929946899414
124,328.1669616699219,428.0894088745117
125,328.6781311035156,428.08971405029297
126,329.17247772216797,428.0889129638672
127,329.6565628051758,428.0895233154297
128,330.1749038696289,428.08887481689453
129,330.65826416015625,428.0881881713867
130,331.1663818359375,428.0878448486328
131,331.6699981689453,428.0875778198242
132,332.15808868408203,428.0862808227539
133,332.67818450927734,428.08643341064453
134,333.1663513183594,428.0852508544922
135,333.67279052734375,428.0841064453125
136,334.1709899902344,428.08265686035156
137,334.6593475341797,428.0807876586914
138,335.17459869384766,428.0788040161133
139,335.65879821777344,428.07594299316406
140,336.16539001464844,427.8133773803711
141,336.6673278808594,427.8341293334961
142,337.15660095214844,427.84271240234375
143,337.6816177368164,427.8489685058594
144,338.1671142578125,427.8734588623047
145,338.67305755615234,427.88700103759766
146,339.1706848144531,427.8963851928711
147,339.1722869873047,428.87439727783203
148,338.7208938598633,428.5504150390625
149,338.155517578125,428.551025390625
150,337.65716552734375,428.5506057739258
151,337.16575622558594,428.55113983154297
152,336.66637420654297,428.55064392089844
153,336.16748809814453,428.5514450073242
154,335.69026947021484,428.55159759521484
155,335.17738342285156,428.5514831542969
156,334.7089385986328,428.5523223876953
157,334.1434097290039,428.5520553588867
158,333.6460876464844,428.55224609375
159,333.14918518066406,428.5523986816406
160,332.6530456542969,428.55236053466797
161,332.1555709838867,428.5525131225586
162,331.6720199584961,428.5528564453125
163,331.1461639404297,428.5525131225586
164,330.67527770996094,428.55377197265625
165,330.15819549560547,428.55358123779297
166,329.6263885498047,428.55411529541016
167,329.1450500488281,428.5544204711914
168,328.64784240722656,428.55430603027344
169,328.1624984741211,428.5544967651367
170,327.66048431396484,428.55457305908203
171,327.15076446533203,428.5548400878906
172,326.6754150390625,428.5545349121094
173,326.1725616455078,428.5546875
174,325.68115234375,428.5551452636719
175,325.19195556640625,428.5551452636719
176,324.6753692626953,428.55594635009766
177,324.14710998535156,428.55628967285156
178,323.6492156982422,428.5557556152344
179,323.15208435058594,428.555908203125
180,322.6580810546875,428.5560607910156
181,322.16442108154297,428.5562515258789
182,321.673583984375,428.55640411376953
183,321.1655807495117,428.55628967285156
184,320.68328857421875,428.5564422607422
185,320.1906204223633,428.5565185546875
186,319.6291732788086,428.5559844970703
187,319.14520263671875,428.5558319091797
188,318.6465072631836,428.5563659667969
189,318.1614303588867,428.55621337890625
190,317.6553535461426,428.55628967285156
191,317.1833038330078,428.5563278198242
192,316.6702461242676,428.5565185546875
193,316.17136001586914,428.5560607910156
194,315.6792640686035,428.55613708496094
195,315.17683029174805,428.55655670166016
196,315.1557922363281,429.0285110473633
197,315.6454277038574,429.0288543701172
198,316.1653518676758,429.02984619140625
199,316.6572570800781,429.0303039550781
200,317.1507263183594,429.03160095214844
201,317.67234802246094,429.0338134765625
202,318.1636428833008,429.03564453125
203,318.6698913574219,429.03770446777344
204,319.1679000854492,429.0394592285156
205,319.65478897094727,429.04468536376953
206,320.1752471923828,429.0505599975586
207,320.6589889526367,429.0636444091797
208,321.1638641357422,429.06322479248047
209,321.6683578491211,429.0636444091797
210,322.15755462646484,429.0633773803711
211,322.6822280883789,429.0637969970703
212,323.16650390625,429.06341552734375
213,323.6714553833008,429.0629196166992
214,324.17308807373047,429.0629196166992
215,324.65728759765625,429.06341552734375
216,325.1729202270508,429.06314849853516
217,325.65818786621094,429.0624237060547
218,326.1676025390625,429.0628433227539
219,326.66805267333984,429.0626525878906
220,327.1568298339844,429.0631866455078
221,327.6830291748047,429.06227111816406
222,328.16749572753906,429.06272888183594
223,328.67183685302734,429.0625762939453
224,329.17205810546875,429.06192779541016
225,329.65614318847656,429.0618896484375
226,330.17650604248047,429.0614700317383
227,330.6587219238281,429.06158447265625
228,331.1695098876953,429.06139373779297
229,331.6681671142578,429.0616226196289
230,332.15736389160156,429.06089782714844
231,332.6802444458008,429.0614318847656
232,333.1671905517578,429.06116485595703
233,333.67115020751953,429.0608596801758
234,334.17232513427734,429.0609359741211
235,334.65606689453125,429.0604019165039
236,335.1741027832031,429.0604782104492
237,335.66043853759766,429.06036376953125
238,336.1653137207031,429.06002044677734
239,336.66751861572266,429.06005859375
240,337.15721130371094,429.05994415283203
241,337.6817321777344,429.0595245361328
242,338.1670379638672,429.0594482421875
243,338.6726760864258,429.0590286254883
244,339.17213439941406,429.0587615966797
245,339.1728973388672,429.52259063720703
246,338.646240234375,429.5722961425781
247,338.1526184082031,429.57191467285156
248,337.65575408935547,429.5713806152344
249,337.18631744384766,429.57122802734375
250,336.66961669921875,429.57149505615234
251,336.16455078125,429.5707702636719
252,335.6446075439453,429.5707321166992
253,335.15960693359375,429.57027435302734
254,334.63123321533203,429.56878662109375
255,334.1484832763672,429.56687927246094
256,333.6557388305664,429.5665740966797
257,333.16028594970703,429.56539154052734
258,332.65281677246094,429.5644760131836
259,332.1421432495117,429.56363677978516
260,331.6745376586914,429.56287384033203
261,331.14715576171875,429.56233978271484
262,330.68870544433594,429.5615005493164
263,330.18211364746094,429.56111907958984
264,329.6748352050781,429.5591735839844
265,329.1468811035156,429.5583724975586
266,328.646240234375,429.5580291748047
267,328.1671142578125,429.5576477050781
268,327.65899658203125,429.5580291748047
269,327.1534729003906,429.5573043823242
270,326.66419982910156,429.5575714111328
271,326.1582946777344,429.55760955810547
272,325.6855010986328,429.5572280883789
273,325.1771545410156,429.55726623535156
274,324.6323776245117,429.55665588378906
275,324.14485931396484,429.55699920654297
276,323.6604690551758,429.55699920654297
