Serpentine Scan Parameters
X Total Distance (mm),16
Y Total Distance (mm),16
Step Size (mm),0.5
Start from Center,True

Step Number,X Position (mm),Y Position (mm)
0,315.1712226867676,427.5869369506836
1,315.6488037109375,427.7534866333008
2,316.165714263916,427.7492904663086
3,316.65552139282227,427.7318572998047
4,317.1691703796387,427.72815704345703
5,317.66502380371094,427.72430419921875
6,318.16280364990234,427.72212982177734
7,318.6787414550781,427.7195358276367
8,319.169864654541,427.716064453125
9,319.66976165771484,427.67887115478516
10,320.17494201660156,427.67845153808594
11,320.6583023071289,427.6776123046875
12,321.1744689941406,427.1728515625
13,321.6648864746094,427.13226318359375
14,322.16304779052734,427.3515319824219
15,322.6737976074219,427.3542785644531
16,323.1667709350586,427.36053466796875
17,323.6832809448242,427.75196075439453
18,324.1732406616211,427.75001525878906
19,324.6746063232422,427.73326873779297
20,325.1755142211914,427.72918701171875
21,325.65982818603516,427.7254104614258
22,326.1741638183594,427.72308349609375
23,326.6659927368164,427.7211380004883
24,327.1617126464844,427.71854400634766
25,327.67406463623047,427.6771545410156
26,328.162841796875,427.67723083496094
27,328.6798095703125,427.67704010009766
28,329.17396545410156,427.1550750732422
29,329.6768569946289,427.2069549560547
30,330.1776885986328,427.2242736816406
31,330.66078186035156,427.49488830566406
32,331.17420196533203,427.4956512451172
33,331.17504119873047,427.96348571777344
34,330.69114685058594,428.0824279785156
35,330.1575469970703,428.0827331542969
36,329.65248107910156,428.0831527709961
37,329.1593551635742,428.0832290649414
38,328.6546325683594,428.0825424194336
39,328.1568145751953,428.08311462402344
40,327.6607894897461,428.08311462402344
41,327.1498107910156,428.0830383300781
42,326.67205810546875,428.0837631225586
43,326.17252349853516,428.08387756347656
44,325.64300537109375,428.0839538574219
45,325.16761779785156,428.0846405029297
46,324.6904754638672,428.08475494384766
47,324.18556213378906,428.08528900146484
48,323.66519927978516,428.0851364135742
49,323.1883239746094,428.0855178833008
50,322.67589569091797,428.08605194091797
51,322.1903610229492,428.08605194091797
52,321.6790771484375,428.0867385864258
53,321.18663787841797,428.08685302734375
54,320.6536102294922,428.0867385864258
55,320.1873779296875,428.0870819091797
56,319.69093322753906,428.0875015258789
57,319.1850471496582,428.0870056152344
58,318.6634063720703,428.08753967285156
59,318.18370819091797,428.08738708496094
60,317.67587661743164,428.08780670166016
61,317.167911529541,428.08788299560547
62,316.6818618774414,428.08773040771484
63,316.1944580078125,428.0879211425781
64,315.6407356262207,428.0880355834961
65,315.17032623291016,428.08834075927734
66,315.16496658325195,428.5958480834961
67,315.6444549560547,428.59580993652344
68,316.15142822265625,428.5951614379883
69,316.63259506225586,428.59527587890625
70,317.1487808227539,428.59447479248047
71,317.64394760131836,428.59439849853516
72,318.1591987609863,428.5945510864258
73,318.6708450317383,428.5936737060547
74,319.1651916503906,428.5934829711914
75,319.67905044555664,428.5939407348633
76,320.16990661621094,428.5934066772461
77,320.65685272216797,428.5932922363281
78,321.17210388183594,428.59264373779297
79,321.66553497314453,428.5923767089844
80,322.1630859375,428.5921859741211
81,322.6731872558594,428.5919952392578
82,323.1630325317383,428.5919952392578
83,323.6817932128906,428.59134674072266
84,324.17232513427734,428.59130859375
85,324.6726608276367,428.5914611816406
86,325.17799377441406,428.59119415283203
87,325.6591796875,428.59107971191406
88,326.17626190185547,428.59092712402344
89,326.6642761230469,428.59130859375
90,327.16773986816406,428.5910415649414
91,327.67372131347656,428.59073638916016
92,328.1627655029297,428.59004974365234
93,328.67916107177734,428.590087890625
94,329.17407989501953,428.5901641845703
95,329.6706771850586,428.5902786254883
96,330.17333984375,428.58970642089844
97,330.6605911254883,428.5903549194336
98,331.17549896240234,428.59046936035156
99,331.1758041381836,429.07737731933594
100,330.68084716796875,429.1154098510742
101,330.15430450439453,429.11346435546875
102,329.6571350097656,429.10892486572266
103,329.15863037109375,429.10472869873047
104,328.6550521850586,429.0919494628906
105,328.15948486328125,429.0920639038086
106,327.6601791381836,429.091796875
107,327.15721130371094,429.0913772583008
108,326.67625427246094,429.0915298461914
109,326.1717224121094,429.0912628173828
110,325.6440734863281,429.09061431884766
111,325.1909637451172,429.09034729003906
112,324.664306640625,429.0899658203125
113,324.1862106323242,429.0898895263672
114,323.66615295410156,429.0898132324219
115,323.18103790283203,429.0898132324219
116,322.66727447509766,429.0898132324219
117,322.1675109863281,429.0896224975586
118,321.6826629638672,429.0896987915039
119,321.19258880615234,429.08973693847656
120,320.66131591796875,429.0895462036133
121,320.17234802246094,429.0895080566406
122,319.65404510498047,429.08973693847656
123,319.1788101196289,429.0894317626953
124,318.65835189819336,429.0896224975586
125,318.1705856323242,429.0895080566406
126,317.67333984375,429.08912658691406
127,317.1627426147461,429.0897750854492
128,316.6731262207031,429.0894317626953
129,316.1929130554199,429.0896987915039
130,315.6612777709961,429.08966064453125
131,315.1709747314453,429.08939361572266
132,315.1628875732422,429.61742401123047
133,315.644474029541,429.6175765991211
134,316.1231231689453,429.6174621582031
135,316.63196563720703,429.6171188354492
136,317.13783264160156,429.6171569824219
137,317.6637268066406,429.6169662475586
138,318.1595993041992,429.6165466308594
139,318.67076873779297,429.6168899536133
140,319.1649055480957,429.61585998535156
141,319.67945098876953,429.615478515625
142,320.1737594604492,429.6144104003906
143,320.6566619873047,429.6131134033203
144,321.16954803466797,429.60865020751953
145,321.6638946533203,429.5905303955078
146,322.1620178222656,429.59056854248047
147,322.6728820800781,429.5899963378906
148,323.16272735595703,429.5906066894531
149,323.6818313598633,429.5899963378906
150,324.16996002197266,429.59033966064453
151,324.68170166015625,429.5903778076172
152,325.1780700683594,429.5904541015625
153,325.66009521484375,429.5900344848633
154,326.1745071411133,429.59033966064453
155,326.6625213623047,429.59033966064453
156,327.16697692871094,429.5903778076172
157,327.67303466796875,429.5897674560547
158,328.16200256347656,429.5904541015625
159,328.6794662475586,429.5899963378906
160,329.17503356933594,429.58988189697266
161,329.6746826171875,429.5901870727539
162,330.17723083496094,429.59022521972656
163,330.65887451171875,429.5896530151367
164,331.17515563964844,429.58980560302734
165,331.17366790771484,430.1180648803711
166,330.6375503540039,430.30372619628906
167,330.1555633544922,429.9230194091797
168,329.6523666381836,429.9318313598633
169,329.16011810302734,429.9635696411133
170,328.65570068359375,429.96673583984375
171,328.1610870361328,429.9692916870117
172,327.66387939453125,429.9721908569336
173,327.1598434448242,429.9753189086914
174,326.67457580566406,429.9795150756836
175,326.1761474609375,429.98374938964844
176,325.6441116333008,430.00545501708984
177,325.18985748291016,430.008544921875
178,324.6745300292969,430.3889846801758
179,324.18609619140625,430.37689208984375
180,323.66695404052734,430.3488540649414
181,323.18878173828125,430.34332275390625
182,322.6673126220703,430.3013610839844
183,322.16686248779297,429.9305725097656
184,321.6830825805664,429.9457550048828
185,321.17504119873047,429.9637222290039
186,320.69236755371094,429.97047424316406
187,320.16361236572266,429.9735641479492
188,319.6630859375,429.9769973754883
189,319.17409896850586,429.9810028076172
190,318.6600112915039,429.9855422973633
191,318.17312240600586,430.00465393066406
192,317.6696586608887,430.03108978271484
193,317.15904235839844,430.3842544555664
194,316.67667388916016,430.3651809692383
195,316.1775207519531,430.3461456298828
196,315.64483642578125,430.3043746948242
197,315.1876640319824,429.92088317871094
198,315.1683235168457,430.59558868408203
199,315.62599182128906,430.5954360961914
200,316.15814208984375,430.5955505371094
201,316.6327476501465,430.59513092041016
202,317.1427345275879,430.5950164794922
203,317.65478134155273,430.5946731567383
204,318.15996170043945,430.5947494506836
205,318.6757278442383,430.5941390991211
206,319.1671371459961,430.59436798095703
207,319.67884063720703,430.5940628051758
208,320.1730728149414,430.59356689453125
209,320.6558609008789,430.59383392333984
210,321.1730194091797,430.5939483642578
211,321.6631317138672,430.59364318847656
212,322.1694564819336,430.5931854248047
213,322.6727294921875,430.59337615966797
214,323.1666946411133,430.59295654296875
215,323.68202209472656,430.59349060058594
216,324.1692352294922,430.5928039550781
217,324.6697235107422,430.59261322021484
218,325.1756286621094,430.59288024902344
219,325.65921783447266,430.5931854248047
220,326.17454528808594,430.59303283691406
221,326.66534423828125,430.5925750732422
222,327.1697235107422,430.5925750732422
223,327.6736831665039,430.59234619140625
224,328.1648254394531,430.59276580810547
225,328.68011474609375,430.5921936035156
226,329.17327880859375,430.5918502807617
227,329.6733856201172,430.59207916259766
228,330.174560546875,430.592041015625
229,330.65982818603516,430.59165954589844
230,331.17584228515625,430.59173583984375
231,331.1745071411133,431.08177185058594
232,330.70934295654297,431.0819625854492
233,330.1548385620117,431.0818862915039
234,329.658203125,431.08203887939453
235,329.1567611694336,431.0824203491211
236,328.65501403808594,431.0818862915039
237,328.1602096557617,431.0822296142578
238,327.6597595214844,431.08287811279297
239,327.1540832519531,431.08272552490234
240,326.65626525878906,431.08280181884766
241,326.19190216064453,431.08245849609375
242,325.6422805786133,431.08314514160156
243,325.18707275390625,431.08348846435547
244,324.66915130615234,431.08299255371094
245,324.18861389160156,431.0832977294922
246,323.6680221557617,431.083984375
247,323.17832946777344,431.08360290527344
248,322.6766586303711,431.08375549316406
249,322.19371795654297,431.0835266113281
250,321.68460845947266,431.0831832885742
251,321.1976623535156,431.0840606689453
252,320.6636428833008,431.0845947265625
253,320.17173767089844,431.08409881591797
254,319.6702766418457,431.08428955078125
255,319.17980194091797,431.0845184326172
256,318.6583709716797,431.0851287841797
257,318.1434631347656,431.0850524902344
258,317.67852783203125,431.08524322509766
259,317.17870712280273,431.08543395996094
260,316.6794967651367,431.08585357666016
261,316.19482040405273,431.0857391357422
262,315.69658279418945,431.0853576660156
263,315.1801872253418,431.08612060546875
264,315.16490936279297,431.5367889404297
265,315.6418037414551,431.54109954833984
266,316.1232376098633,431.5444564819336
267,316.62628173828125,431.5499496459961
268,317.13659286499023,431.56700134277344
269,317.63988494873047,431.5689468383789
270,318.15677642822266,431.5703582763672
271,318.66872787475586,431.5724563598633
272,319.1645812988281,431.57318115234375
273,319.6788787841797,431.57466888427734
274,320.1688766479492,431.57596588134766
275,320.6573486328125,431.5763473510742
276,321.1698913574219,431.5776062011719
277,321.6640853881836,431.578369140625
278,322.17079162597656,431.5781021118164
279,322.6717758178711,431.5799331665039
280,323.16158294677734,431.5802764892578
281,323.68228912353516,431.58077239990234
282,324.17301177978516,431.5822219848633
283,324.6733093261719,431.58275604248047
284,325.1755142211914,431.58355712890625
285,325.6609344482422,431.58382415771484
286,326.1759567260742,431.5843963623047
287,326.66534423828125,431.58496856689453
288,327.16259002685547,431.58565521240234
289,327.6739501953125,431.5859603881836
290,328.16341400146484,431.58641815185547
291,328.6824035644531,431.5864944458008
292,329.17308807373047,431.5869140625
293,329.67529296875,431.5876007080078
294,330.17894744873047,431.5878677368164
295,330.65975189208984,431.5879821777344
296,331.1783981323242,431.58824920654297
297,331.1749267578125,432.08866119384766
298,330.6692886352539,432.11414337158203
299,330.15514373779297,432.1138000488281
300,329.6510314941406,432.1128845214844
301,329.1620635986328,432.1096420288086
302,328.6560821533203,432.08984375
303,328.15418243408203,432.0894241333008
304,327.6607894897461,432.08953857421875
305,327.1548080444336,432.0896530151367
306,326.6762161254883,432.0890426635742
307,326.17431640625,432.0899200439453
308,325.6427001953125,432.0896530151367
309,325.1908493041992,432.0895767211914
310,324.69470977783203,432.08946228027344
311,324.1807556152344,432.0894241333008
312,323.66504669189453,432.0895767211914
313,323.18817138671875,432.08934783935547
314,322.6816177368164,432.08953857421875
315,322.15087890625,432.08988189697266
316,321.688232421875,432.08946228027344
317,321.18770599365234,432.0890808105469
318,320.64037322998047,432.0890808105469
319,320.1719665527344,432.08953857421875
320,319.65518951416016,432.08934783935547
321,319.16988372802734,432.08972930908203
322,318.66655349731445,432.08953857421875
323,318.1718635559082,432.0895767211914
324,317.67311096191406,432.0890426635742
325,317.1632385253906,432.08961486816406
326,316.6819381713867,432.0890426635742
327,316.1643981933594,432.0893096923828
328,315.64428329467773,432.0892333984375
329,315.1897430419922,432.0889663696289
330,315.167293548584,432.62794494628906
331,315.6420135498047,432.6272964477539
332,316.11698150634766,432.6277542114258
333,316.6305923461914,432.62718200683594
334,317.1595764160156,432.6259994506836
335,317.6392936706543,432.6245880126953
336,318.15576553344727,432.6232147216797
337,318.6750602722168,432.62115478515625
338,319.1659736633301,432.6180648803711
339,319.6780014038086,432.6127243041992
340,320.17086029052734,432.6103973388672
341,320.6561279296875,432.60955810546875
342,321.16947174072266,432.6081848144531
343,321.6640090942383,432.60753631591797
344,322.16930389404297,432.6069641113281
345,322.67127990722656,432.60669708251953
346,323.1673049926758,432.6055145263672
347,323.68228912353516,432.6053237915039
348,324.17015075683594,432.60528564453125
349,324.6766662597656,432.60440826416016
350,325.17677307128906,432.60379791259766
351,325.6599426269531,432.6038360595703
352,326.1759567260742,432.60292053222656
353,326.6646194458008,432.60257720947266
354,327.16907501220703,432.6017379760742
355,327.67189025878906,432.6016616821289
356,328.16558837890625,432.60128021240234
357,328.68152618408203,432.60101318359375
358,329.1735076904297,432.60135650634766
359,329.67628479003906,432.6011657714844
360,330.1743698120117,432.60059356689453
361,330.6589889526367,432.6004409790039
362,331.175537109375,432.6002502441406
363,331.17454528808594,433.095703125
364,330.63507080078125,433.09581756591797
365,330.1555633544922,433.0958557128906
366,329.65206146240234,433.09574127197266
367,329.1633987426758,433.0958557128906
368,328.65806579589844,433.095703125
369,328.15826416015625,433.095703125
370,327.66368865966797,433.095703125
371,327.1609115600586,433.09608459472656
372,326.6650390625,433.0956268310547
373,326.17366790771484,433.09558868408203
374,325.6435775756836,433.09574127197266
375,325.19039154052734,433.09574127197266
376,324.6693420410156,433.0955123901367
377,324.16534423828125,433.0958557128906
378,323.66703033447266,433.095703125
379,323.19164276123047,433.09497833251953
380,322.67932891845703,433.09532165527344
381,322.1692657470703,433.09505462646484
382,321.6901397705078,433.0951690673828
383,321.197509765625,433.09497833251953
384,320.69217681884766,433.0947494506836
385,320.17345428466797,433.0946731567383
386,319.6744728088379,433.09520721435547
387,319.1843795776367,433.0950164794922
388,318.6625671386719,433.0946731567383
389,318.16650390625,433.0946731567383
390,317.6664733886719,433.09486389160156
391,317.16243743896484,433.094482421875
392,316.68466567993164,433.09486389160156
393,316.18045806884766,433.09497833251953
394,315.6425476074219,433.0942153930664
395,315.17539978027344,433.0934524536133
396,315.1657485961914,433.59180450439453
397,315.64252853393555,433.59081268310547
398,316.1143112182617,433.5902786254883
399,316.62641525268555,433.59073638916016
400,317.1412467956543,433.5906982421875
401,317.64232635498047,433.5902786254883
402,318.15773010253906,433.59058380126953
403,318.6672592163086,433.59058380126953
404,319.16664123535156,433.59073638916016
405,319.67273712158203,433.5906219482422
406,320.17398834228516,433.5901641845703
407,320.65582275390625,433.59012603759766
408,321.1695861816406,433.5908508300781
409,321.6612243652344,433.59039306640625
410,322.1691131591797,433.59081268310547
411,322.6700973510742,433.5905456542969
412,323.1618881225586,433.5899353027344
413,323.6792755126953,433.59046936035156
414,324.17163848876953,433.59031677246094
415,324.6697235107422,433.59020233154297
416,325.17494201660156,433.59073638916016
417,325.6605911254883,433.5904312133789
418,326.1779022216797,433.5902404785156
419,326.6653060913086,433.5902786254883
420,327.1736145019531,433.59058380126953
421,327.67162322998047,433.59046936035156
422,328.16184997558594,433.590087890625
423,328.6831283569336,433.59046936035156
424,329.1730499267578,433.59058380126953
425,329.6767807006836,433.59046936035156
426,330.17818450927734,433.58997344970703
427,330.6631851196289,433.58997344970703
428,331.1781311035156,433.590087890625
429,331.1752700805664,434.10953521728516
430,330.69297790527344,434.1191101074219
431,330.15316009521484,434.1158676147461
432,329.6584701538086,434.1119384765625
433,329.1582489013672,434.1061782836914
434,328.6546325683594,434.0918731689453
435,328.16070556640625,434.09141540527344
436,327.65953063964844,434.0915298461914
437,327.1497344970703,434.0915298461914
438,326.6783905029297,434.09122467041016
439,326.15394592285156,434.09130096435547
440,325.64388275146484,434.09080505371094
441,325.1902389526367,434.0904235839844
442,324.69200134277344,434.09088134765625
443,324.18556213378906,434.0903091430664
444,323.6697769165039,434.0901184082031
445,323.1831359863281,434.0899658203125
446,322.6768112182617,434.08973693847656
447,322.1800994873047,434.0898895263672
448,321.68479919433594,434.08985137939453
449,321.1691665649414,434.0899658203125
450,320.6446838378906,434.08973693847656
451,320.1925277709961,434.0896987915039
452,319.71378326416016,434.0897750854492
453,319.19212341308594,434.0895080566406
454,318.6669158935547,434.08966064453125
455,318.18546295166016,434.0895080566406
456,317.678165435791,434.08946990966797
457,317.17010498046875,434.08912658691406
458,316.69878005981445,434.08939361572266
459,316.19544982910156,434.0896224975586
460,315.6908988952637,434.0892028808594
461,315.18089294433594,434.08924102783203
462,315.16504287719727,434.59922790527344
463,315.6421089172363,434.615478515625
464,316.1004829406738,434.61631774902344
465,316.6268539428711,434.6155548095703
466,317.13666915893555,434.6156311035156
467,317.66151428222656,434.61570739746094
468,318.1595993041992,434.61544036865234
469,318.6575126647949,434.61490631103516
470,319.1559028625488,434.6146774291992
471,319.6757125854492,434.61421966552734
472,320.17391204833984,434.6133804321289
473,320.6605911254883,434.61238861083984
474,321.17198944091797,434.6105194091797
475,321.66282653808594,434.6070098876953
476,322.1634292602539,434.59224700927734
477,322.66956329345703,434.59156036376953
478,323.1604766845703,434.59156036376953
479,323.6811828613281,434.5905303955078
480,324.1727066040039,434.5903778076172
481,324.68006134033203,434.59022521972656
482,325.17627716064453,434.5905303955078
483,325.65975189208984,434.59056854248047
484,326.17542266845703,434.5901107788086
485,326.66404724121094,434.5904541015625
486,327.16819763183594,434.5899963378906
487,327.6739501953125,434.59007263183594
488,328.1629943847656,434.59007263183594
489,328.67969512939453,434.58995819091797
490,329.1730499267578,434.58995819091797
491,329.67864990234375,434.58988189697266
492,330.17704010009766,434.5897674560547
493,330.65956115722656,434.5897674560547
494,331.17305755615234,434.5900344848633
495,331.1749267578125,435.1253128051758
496,330.6321716308594,435.1260757446289
497,330.1547622680664,435.1254653930664
498,329.65152740478516,435.1246643066406
499,329.1602325439453,435.12420654296875
500,328.6551284790039,435.12264251708984
501,328.148193359375,435.12001037597656
502,327.6637268066406,435.1163864135742
503,327.1553039550781,435.1112365722656
504,326.6745376586914,435.10921478271484
505,326.15264892578125,435.10807037353516
506,325.6436538696289,435.10730743408203
507,325.18531799316406,435.10547637939453
508,324.67761993408203,435.10589599609375
509,324.18243408203125,435.1055145263672
510,323.6684799194336,435.10528564453125
511,323.1883239746094,435.1047134399414
512,322.677001953125,435.1042175292969
513,322.1743392944336,435.1034927368164
514,321.69429779052734,435.1029968261719
515,321.19640350341797,435.1032257080078
516,320.6431198120117,435.10223388671875
517,320.1667022705078,435.10135650634766
518,319.6917533874512,435.10013580322266
519,319.1927719116211,435.10040283203125
520,318.6814880371094,435.09986877441406
521,318.1894302368164,435.10021209716797
522,317.6764678955078,435.1002883911133
523,317.15343475341797,435.0989532470703
524,316.6844367980957,435.0996398925781
525,316.1945343017578,435.0987243652344
526,315.6663131713867,435.09883880615234
527,315.1841926574707,435.09864807128906
528,315.1660919189453,435.57960510253906
529,315.64258575439453,435.57960510253906
530,316.11202239990234,435.57979583740234
531,316.6256904602051,435.58040618896484
532,317.1590042114258,435.58055877685547
533,317.6336669921875,435.58101654052734
534,318.1568145751953,435.5812454223633
535,318.667049407959,435.58189392089844
536,319.1636657714844,435.582275390625
537,319.6765327453613,435.58231353759766
538,320.1737976074219,435.58250427246094
539,320.65906524658203,435.58300018310547
540,321.17237091064453,435.5833053588867
541,321.66202545166016,435.5839157104492
542,322.17041015625,435.5837631225586
543,322.67311096191406,435.58433532714844
544,323.16383361816406,435.5847930908203
545,323.68019104003906,435.58502197265625
546,324.16980743408203,435.58570861816406
547,324.6818542480469,435.58582305908203
548,325.17799377441406,435.58597564697266
549,325.6584930419922,435.5861282348633
550,326.1747360229492,435.58597564697266
551,326.6642379760742,435.58631896972656
552,327.1686553955078,435.5863952636719
553,327.6703643798828,435.5868148803711
554,328.16162109375,435.5863952636719
555,328.68072509765625,435.58666229248047
556,329.1741180419922,435.5868148803711
557,329.67838287353516,435.5867385864258
558,330.17826080322266,435.58738708496094
559,330.66078186035156,435.587158203125
560,331.17733001708984,435.58727264404297
561,331.1758804321289,436.09493255615234
562,330.7084655761719,436.0893249511719
563,330.15357971191406,436.08898162841797
564,329.65118408203125,436.0894775390625
565,329.15626525878906,436.08936309814453
566,328.65379333496094,436.0896301269531
567,328.1554412841797,436.08970642089844
568,327.6611328125,436.08936309814453
569,327.15240478515625,436.08863830566406
570,326.6701126098633,436.08936309814453
571,326.15612030029297,436.0893249511719
572,325.64414978027344,436.0891342163086
573,325.1927185058594,436.08898162841797
574,324.6935272216797,436.08959197998047
575,324.1857147216797,436.0891342163086
576,323.6613082885742,436.08917236328125
577,323.1707763671875,436.0892868041992
578,322.6776123046875,436.0893249511719
579,322.1744155883789,436.0890579223633
580,321.68067932128906,436.0893249511719
581,321.1934280395508,436.0891342163086
582,320.6407928466797,436.0894775390625
583,320.1620864868164,436.0893249511719
584,319.66793060302734,436.0894775390625
585,319.17720794677734,436.08917236328125
586,318.66018295288086,436.08917236328125
587,318.1752014160156,436.08863830566406
588,317.6719093322754,436.08917236328125
589,317.16869354248047,436.0893249511719
590,316.6810607910156,436.0897445678711
591,316.16424560546875,436.08936309814453
592,315.6436347961426,436.090087890625
593,315.1896286010742,436.08936309814453
594,315.1680374145508,436.64234161376953
595,315.6453323364258,436.6500473022461
596,316.1234474182129,436.64466857910156
597,316.6271209716797,436.612548828125
598,317.14277267456055,436.6123962402344
599,317.640438079834,436.6119384765625
600,318.160343170166,436.61041259765625
601,318.66037368774414,436.60675048828125
602,319.1625213623047,436.5880584716797
603,319.6772766113281,436.5880584716797
604,320.17261505126953,436.588134765625
605,320.6552505493164,436.5880584716797
606,321.1750793457031,436.5883255004883
607,321.66343688964844,436.58790588378906
608,322.16941833496094,436.58763885498047
609,322.67024993896484,436.58836364746094
610,323.1614685058594,436.5883255004883
611,323.68038177490234,436.58802032470703
612,324.17064666748047,436.58817291259766
613,324.6763610839844,436.5879440307617
614,325.17574310302734,436.5883255004883
615,325.65853118896484,436.5883255004883
616,326.17454528808594,436.5879821777344
617,326.66492462158203,436.5880584716797
618,327.16243743896484,436.58817291259766
619,327.6739501953125,436.588134765625
620,328.1603240966797,436.588134765625
621,328.68080139160156,436.58824920654297
622,329.17491912841797,436.588134765625
623,329.67350006103516,436.5882110595703
624,330.17528533935547,436.5882110595703
625,330.6596374511719,436.58824920654297
626,331.1752700805664,436.5882873535156
627,331.17481231689453,437.06348419189453
628,330.66322326660156,437.10315704345703
629,330.1568603515625,437.10304260253906
630,329.65065002441406,437.1031188964844
631,329.16141510009766,437.10262298583984
632,328.6579895019531,437.1021270751953
633,328.155517578125,437.1024703979492
