Timestamp,Group,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
173441220,s,0.0,0.0,0.0,0.0
173441220,G1,1064,1081,673,1049,1234,524,811,1190
173441224,G2,1279,1279,1120,1279,1221,677,1280,667
173441228,G3,1185,1279,1279,1213,1234,869,1204,1235
173441231,G4,1279,854,993,1279,1235,556,936,862
173441244,G1,1051,1040,683,1079,1233,523,817,1234
173441247,G2,1279,1279,1094,1279,1235,673,1279,669
173441251,G3,1259,1280,1279,1279,1234,867,1123,1234
173441254,G4,1279,828,941,1279,1235,555,941,890
173441266,G1,1063,1087,669,1052,1233,523,814,1203
173441270,G2,1279,1279,1129,1279,1216,689,1279,681
173441274,G3,1215,1279,1271,1175,1234,876,1222,1235
173441277,G4,1279,853,960,1279,1234,555,942,898
173441290,G1,1042,1023,666,1075,1234,523,823,1234
173441293,G2,1279,1279,1076,1279,1235,674,1279,686
173441297,G3,1210,1279,1279,1258,1234,872,1141,1235
173441301,G4,1279,844,964,1279,1235,556,938,868
173441313,G1,1039,1124,676,1035,1234,523,812,1137
173441316,G2,1279,1279,1082,1279,1235,677,1279,676
173441320,G3,1268,1279,1279,1279,1234,926,1209,1234
173441324,G4,1279,834,966,1279,1235,563,824,909
173441336,G1,1056,1039,666,1163,1234,523,818,1234
173441340,G2,1279,1279,1040,1279,1235,674,1279,675
173441344,G3,1232,1279,1279,1279,1234,889,1143,1234
173441347,G4,1279,833,931,1279,1235,554,952,892
173441359,G1,1065,967,681,1279,1234,523,817,1234
173441363,G2,1279,1279,1099,1279,1234,678,1279,698
173441367,G3,1248,1279,1074,1174,1234,885,1182,1235
173441370,G4,1279,838,1040,1240,1235,554,889,855
173441382,G1,1043,1084,691,1174,1234,523,810,1234
173441386,G2,1279,1279,1075,1279,1234,673,1279,674
173441390,G3,1279,1279,1279,1279,1234,888,1104,1235
173441393,G4,1279,820,986,1279,1235,553,907,874
173441405,G1,1069,1057,676,1211,1234,524,824,1201
173441408,G2,1279,1279,1069,1279,1235,672,1279,658
173441412,G3,1195,1279,1261,1279,1234,864,1157,1235
173441416,G4,1279,808,1129,1256,1235,554,880,854
