Timestamp,Group,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
174643606,s,0.0,0.0,0.0,0.0
174643606,G1,935,693,893,1279,1233,523,765,1234
174643606,G2,1279,976,965,1279,1234,607,994,618
174643606,G3,1166,1279,756,1279,1234,1234,1279,977
174643621,G4,1279,718,694,1279,1234,633,872,765
174643624,G1,1136,761,929,1279,1233,523,778,1136
174643636,G2,1279,1196,706,1279,1234,607,1076,582
174643639,G3,1279,1279,685,1277,1233,1234,1279,828
174643640,G4,1279,825,724,1279,1135,590,943,845
174643649,G1,1049,691,880,1264,1210,523,802,1234
174643658,G2,1279,1279,918,1279,1234,603,993,651
174643659,G3,1279,1279,816,1279,1234,1235,1279,1148
174643665,G4,1279,737,678,1279,1234,611,917,941
174643676,G1,1279,688,1067,1246,1234,523,800,1055
174643680,G2,1279,1280,801,1094,1234,597,981,555
174643680,G3,1279,1279,673,1228,1234,1138,1279,1031
174643687,G4,1279,860,711,1279,1234,595,800,714
174643691,G1,1159,705,763,1279,1233,523,827,1156
174643701,G2,1279,965,714,1279,1234,607,1000,578
174643705,G3,1232,1279,664,1279,1234,1235,1279,885
174643707,G4,1279,729,643,1279,1205,688,916,969
2025-02-18 17:46:43,W,0.0,0.0,0.0,0.0
174643840,s,0.0,0.0,0.0,0.0
174643840,G1,987,791,776,1279,1233,523,806,1234
174643840,G2,1279,1148,830,1279,1234,608,1234,593
174643840,G3,1279,1279,789,1229,1234,1143,1210,870
174643851,G4,1279,928,674,1279,1234,597,789,830
174643862,G1,1101,772,1017,1279,1233,523,768,1234
174643862,G2,1279,1138,878,1279,1234,613,1279,603
174643862,G3,1279,1279,864,1279,1234,1234,1279,969
174643873,G4,1279,875,713,1279,1202,617,896,768
174643876,G1,1043,744,818,1279,1233,523,760,1234
174643888,G2,1279,1111,806,1279,1234,610,1222,622
174643891,G3,1279,1279,695,1279,1234,1085,1279,863
174643891,G4,1263,731,673,1279,1196,586,894,844
174643906,G1,1260,718,1040,1279,1226,523,782,1003
174643908,G2,1279,1279,728,1279,1234,621,1073,551
174643908,G3,1279,1279,700,1279,1234,1234,1279,1032
174643917,G4,1279,788,670,1279,1106,678,883,961
174643929,G1,960,813,974,1279,1233,523,790,1234
174643933,G2,1279,982,815,1279,1234,598,1179,594
174643936,G3,1279,1279,868,1279,1234,1096,1279,889
174643940,G4,1279,777,666,1279,1134,588,932,774
2025-02-18 17:46:43,W,0.0,0.0,0.0,0.0
174644057,s,0.0,0.0,0.0,0.0
174644057,G1,990,823,949,1279,1233,523,802,1234
174644057,G2,1279,1279,879,1279,1234,612,1279,618
174644057,G3,1279,1279,951,1279,1234,1173,1279,993
174644070,G4,1279,881,695,1279,1234,597,807,684
174644074,G1,1114,775,800,1279,1233,523,777,1032
174644085,G2,1279,1266,744,1279,1234,616,1279,574
174644087,G3,1131,1279,690,1279,1234,1205,1280,1110
174644092,G4,1279,776,662,1279,1234,604,861,731
174644096,G1,1248,822,812,1279,1233,523,762,1234
174644106,G2,1279,1134,965,1279,1234,596,1279,675
174644110,G3,1279,1279,868,1209,1234,869,1279,1223
174644115,G4,1279,786,673,1279,1131,556,947,1030
174644125,G1,1200,816,924,1279,1233,523,766,1234
