Timestamp,Group,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
193521226,s,0.0,0.0,0.0,0.0
193521226,G1,1279,1279,1159,1005,1233,1071,1280,1016
193521226,G2,1015,1279,1279,1279,1210,763,897,972
193521226,G3,884,1056,1176,1071,921,723,994,647
193521245,G4,1180,1177,923,1182,1234,1235,1280,850
193521257,G1,1279,1121,1071,951,1207,1147,1280,1057
193521261,G2,994,1110,1279,1279,1230,784,898,832
193521263,G3,874,1051,1249,1020,917,738,1005,625
193521268,G4,1095,1279,949,1151,1198,1234,1280,769
193521280,G1,1279,1279,1117,909,1233,1015,1280,1058
193521283,G2,1017,1279,1279,1279,1189,754,889,852
193521286,G3,855,1190,1098,975,904,722,1078,578
193521291,G4,1279,1138,1013,1279,1234,1235,1275,794
193521296,G1,1279,1279,1191,905,1234,1005,1279,1229
193521306,G2,988,1109,1279,1279,1142,763,883,817
193521310,G3,814,1279,974,972,893,720,1072,554
193521313,G4,1279,1139,947,1279,1234,1234,1263,783
193521325,G1,1279,1279,1143,970,1233,1234,1279,1179
193521328,G2,977,1279,1279,1279,1202,809,875,943
193521330,G3,855,1098,1221,1040,904,736,1002,624
193521336,G4,1240,1194,972,1279,1234,1235,1280,786
193521341,G1,1279,1141,1028,981,1135,1234,1280,1234
193521351,G2,948,1101,1279,1279,1156,804,889,856
193521354,G3,869,1041,1231,1094,913,718,1008,622
193521359,G4,1066,1279,945,1016,1234,1234,1279,801
193521363,G1,1279,1167,1061,945,1208,1185,1280,1235
193521374,G2,947,1000,1279,1279,1104,803,868,848
193521377,G3,829,1210,1068,1015,889,740,1011,579
193521382,G4,1128,1279,911,1115,1233,1234,1279,788
193521394,G1,1279,1247,981,907,1234,1067,1279,1235
193521396,G2,1001,1071,1279,1279,1173,784,907,870
193521401,G3,841,1192,1066,994,896,738,996,584
193521404,G4,1185,1279,891,1117,1234,1235,1280,769
193521413,G1,1279,1279,991,946,1234,1234,1280,1226
193521420,G2,1001,1279,1279,1263,1194,804,949,1033
193521423,G3,884,1053,1194,1109,921,728,976,649
193521424,G4,1192,1279,923,1160,1234,1235,1280,777
193521433,G1,1279,1279,1085,909,1234,1053,1280,1235
193521441,G2,1011,1279,1279,1279,1218,763,906,938
193521441,G3,887,1054,1209,1073,923,721,978,642
193521450,G4,1124,1279,932,1141,1234,1234,1280,811
193521462,G1,1279,1279,1045,905,1234,1056,1279,1234
193521463,G2,1018,1279,1279,1279,1202,755,925,1069
193521463,G3,880,1074,1208,1183,922,698,991,668
193521473,G4,1080,1279,917,1110,1234,1235,1280,815
193521475,G1,1279,1279,1052,944,1233,1089,1280,1235
193521489,G2,1008,1279,1279,1262,1194,763,977,1149
193521491,G3,875,1069,1193,1109,915,713,977,664
193521491,G4,1117,1253,914,1133,1234,1234,1279,774
193521507,G1,1279,1279,1002,914,1233,1059,1279,1235
193521507,G2,999,1279,1279,1279,1184,768,935,930
193521514,G3,870,1051,1215,1037,906,722,972,649
193521517,G4,1096,1241,938,1162,1234,1234,1280,784
193521529,G1,1279,1152,1004,1008,1121,1234,1280,1235
193521529,G2,1006,1279,1279,1279,1160,801,931,965
193521529,G3,855,1097,1196,1188,915,697,985,641
193521542,G4,1002,1279,923,1045,1234,1234,1280,830
193521545,G1,1279,1208,980,902,1169,1215,1280,1235
193521557,G2,1021,1071,1279,1279,1109,809,936,854
193521560,G3,869,1040,1090,998,894,733,1030,610
193521565,G4,1050,1214,921,1109,1234,1235,1280,768
193521577,G1,1279,1279,1122,943,1234,1001,1279,1235
193521580,G2,979,1279,1279,1279,1194,755,921,928
193521580,G3,876,1032,1244,1050,911,708,978,658
193521580,G4,1028,1247,940,1184,1234,1235,1280,800
193521594,G1,1279,1241,1087,927,1233,1102,1280,1235
193521604,G2,1014,1279,1279,1279,1174,777,896,890
193521606,G3,889,1030,1159,1033,916,714,1043,641
193521608,G4,1088,1279,948,1271,1234,1234,1280,833
193521623,G1,1279,1279,1141,929,1234,1077,1280,1235
193521624,G2,1016,1279,1279,1279,1151,783,891,870
193521624,G3,868,1066,1142,1013,903,733,988,629
193521634,G4,1053,1279,922,1060,1218,1234,1280,789
193521645,G1,1279,1279,1136,923,1233,1073,1280,1235
193521646,G2,1015,1279,1279,1279,1195,779,938,898
193521646,G3,868,1102,1057,985,904,726,994,605
193521657,G4,1130,1210,918,1185,1234,1234,1280,789
193521659,G1,1279,1279,1094,906,1234,1091,1279,1221
193521672,G2,1013,1079,1279,1279,1154,791,935,822
193521675,G3,853,1120,1017,986,902,722,1006,576
193521675,G4,1263,1123,931,1279,1234,1235,1224,802
193521691,G1,1279,1279,1220,915,1234,1046,1280,1235
193521691,G2,1016,1279,1279,1279,1144,778,871,854
193521699,G3,870,1094,1005,1006,906,722,1068,592
193521701,G4,1194,1239,940,1279,1234,1235,1280,794
193521713,G1,1279,1198,1279,1143,1234,1051,1236,1235
193521713,G2,984,1279,1279,1279,1153,778,864,938
193521713,G3,890,1048,1137,1024,922,707,1077,643
193521726,G4,1022,1279,971,1125,1234,1234,1280,869
193521730,G1,1279,1264,1022,899,1234,1104,1279,1235
193521741,G2,987,1075,1279,1279,1144,791,913,837
193521744,G3,831,1223,1030,990,897,727,982,578
193521749,G4,1205,1177,940,1279,1234,1195,1238,789
193521760,G1,1279,1112,1107,1014,1106,1235,1280,995
193521763,G2,954,985,1279,1279,1231,872,1018,870
193521767,G3,863,1084,1136,1050,904,743,1000,626
193521769,G4,1197,1186,910,1104,1234,1234,1280,790
193521779,G1,1279,1167,983,956,1183,1234,1280,1235
193521786,G2,961,1035,1279,1279,1085,841,907,874
193521790,G3,838,1184,1062,1005,895,737,984,595
193521791,G4,1051,1279,908,1096,1234,1235,1280,828
193521799,G1,1279,1279,1279,1140,1234,1105,1279,1235
193521808,G2,1017,1279,1279,1279,1234,782,882,935
193521808,G3,897,1124,1250,1065,937,697,1216,649
193521816,G4,1029,1279,1098,1279,1234,1235,1280,854
193521827,G1,1279,1280,1249,935,1234,1103,1280,1235
193521831,G2,1015,1279,1279,1279,1207,791,874,883
193521835,G3,880,1028,1169,1040,922,711,1032,597
193521835,G4,1100,1270,947,1257,1234,1234,1280,801
193521845,G1,1279,1279,1226,1031,1234,1088,1280,1235
193521854,G2,998,1279,1257,1177,1206,782,993,1161
193521858,G3,878,1040,1112,1193,910,716,1000,677
193521858,G4,1202,1194,898,1169,1234,1235,1195,815
193521874,G1,1279,1162,1017,907,1172,1234,1280,1235
193521875,G2,1010,979,1279,1279,1108,845,963,847
193521875,G3,842,1187,1060,994,894,727,996,593
193521884,G4,1179,1152,902,1200,1234,1235,1205,767
193521896,G1,1279,1279,1044,977,1234,1234,1280,1235
193521900,G2,1004,1279,1279,1279,1205,806,875,883
193521903,G3,875,1061,1121,1020,921,729,1042,624
193521906,G4,1048,1279,965,1245,1234,1234,1279,850
193521913,G1,1279,1272,1279,1058,1234,1017,1280,1235
193521923,G2,1024,1279,1279,1279,1214,785,882,912
193521925,G3,888,1104,1276,1124,937,698,1040,649
193521930,G4,1000,1279,982,1098,1234,1234,1279,871
193521942,G1,1279,1280,1004,928,1234,1079,1280,1235
193521945,G2,1008,1190,1279,1279,1204,800,917,857
193521948,G3,864,1071,1142,994,903,739,976,607
193521948,G4,1104,1239,918,1221,1234,1235,1280,749
193521963,G1,1279,1166,978,936,1232,1097,1280,1158
193521969,G2,1033,1279,1279,1279,1217,789,977,984
193521971,G3,871,1013,1144,1235,918,700,969,652
193521976,G4,1054,1200,910,1133,1234,1234,1280,746
193521980,G1,1279,1279,1014,914,1234,1017,1280,1234
193521991,G2,1014,1204,1279,1279,1188,789,919,842
193521994,G3,868,1067,1202,1009,907,726,979,619
193521999,G4,1044,1275,939,1218,1234,1235,1280,800
193522011,G1,1279,1279,1061,931,1233,1024,1279,1235
193522013,G2,1014,1279,1279,1279,1207,778,893,881
193522013,G3,865,1095,1145,991,911,721,992,614
193522013,G4,1126,1247,986,1279,1234,1234,1280,812
193522028,G1,1279,1110,970,949,1133,1234,1280,1235
193522038,G2,1000,1105,1279,1279,1145,817,905,847
193522041,G3,868,1050,1165,998,903,735,987,615
193522041,G4,1146,1181,954,1228,1234,1235,1280,781
193522051,G1,1279,1124,1001,1020,1191,1234,1280,1235
193522058,G2,993,1019,1279,1279,1132,824,887,837
193522058,G3,842,1110,1000,992,908,731,1040,582
193522066,G4,1090,1248,934,1182,1234,1235,1280,806
193522079,G1,1279,1279,1184,886,1234,1041,1280,1235
193522082,G2,1003,1246,1279,1279,1215,778,880,870
