Timestamp,Group,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
162515360,s,0.0,0.0,0.0,0.0
162515360,G1,1845,1416,2228,1874,1353,872,952,1889
162515360,G2,1480,1465,1252,1261,2295,736,2090,2182
162515360,G3,1753,1131,1303,3211,2730,689,1490,2150
162515378,G4,2129,1180,1900,1863,2587,774,1561,1640
162515435,G1,1649,1266,1797,2002,1346,815,970,2485
162515435,G2,1297,1254,1605,1116,2690,714,2322,2444
162515435,G3,2017,1099,1705,1826,1890,688,2408,2771
162515446,G4,1384,1169,2257,1689,2392,718,1396,1599
2025-02-22 16:25:15,W,0.0,0.0,0.0,0.0
162515613,s,0.0,0.0,0.0,0.0
162515613,G1,1253,1529,2370,1863,1393,801,941,1997
162515613,G2,1241,1255,1438,1109,2021,760,2109,1996
162515629,G3,2728,1098,1476,2085,2394,705,1974,2560
162515632,G4,1979,1279,1812,2442,2649,729,1643,1663
162515685,G1,1873,1579,2458,1847,1289,814,939,2257
162515685,G2,1394,1318,1273,1125,3923,748,2480,2180
162515685,G3,2334,1211,1621,1921,2473,698,1521,2103
162515700,G4,1831,1219,2313,2114,2414,803,1484,1671
2025-02-22 16:25:15,W,0.0,0.0,0.0,0.0
162515833,s,0.0,0.0,0.0,0.0
162515833,G1,1608,1576,1851,1990,1300,838,1042,2560
162515833,G2,1740,1235,1321,1158,4095,686,2035,2398
162515833,G3,2152,1219,1338,2218,1753,674,1884,2927
162515851,G4,1735,1233,1562,1442,2536,734,1367,1608
162515901,G1,1465,1644,2549,1751,1250,803,1035,2139
162515901,G2,1388,1234,1269,1110,2802,745,1599,2634
162515901,G3,1510,1246,1410,2102,1834,720,1368,2587
162515917,G4,1671,1292,1965,1995,2526,770,1495,1640
2025-02-22 16:25:15,W,0.0,0.0,0.0,0.0
162516067,s,0.0,0.0,0.0,0.0
162516067,G1,1588,1385,2451,1781,1197,763,828,2238
162516067,G2,1249,1201,1223,1253,1943,736,1813,2081
162516067,G3,1657,1130,1245,2471,1805,697,1536,2653
162516081,G4,2065,1228,2717,2151,1970,807,1589,1563
162516135,G1,1805,1458,2344,1675,1120,805,970,2865
162516135,G2,1847,1202,1279,1145,3955,691,1697,2016
162516135,G3,2059,1055,1399,2380,2657,680,1907,3283
162516147,G4,1963,1277,2091,1914,2122,801,1536,1776
2025-02-22 16:25:16,W,0.0,0.0,0.0,0.0
162516282,s,0.0,0.0,0.0,0.0
162516282,G1,1269,1385,1899,1717,1434,759,994,2326
162516282,G2,1770,1143,1311,1180,2282,711,2329,2874
162516282,G3,1627,1163,1393,2026,1859,669,2086,2508
162516299,G4,1602,1327,2876,2009,2315,820,1708,1616
162516351,G1,1363,1755,1898,1755,1108,885,1024,2304
162516351,G2,1353,1208,1138,1289,2897,755,1894,3001
162516351,G3,1564,1124,1561,1899,2279,670,2235,2140
162516365,G4,2061,1314,2099,2229,2360,804,1741,1752
2025-02-22 16:25:16,W,0.0,0.0,0.0,0.0
162516517,s,0.0,0.0,0.0,0.0
162516517,G1,1714,1559,2755,1674,1165,794,995,2024
162516533,G2,1316,1161,1196,1185,2381,724,2279,2355
162516533,G3,2048,1139,1609,1691,1588,688,2096,2145
162516540,G4,1356,1306,2054,2270,2583,903,1368,1501
162516585,G1,1449,1504,3019,1767,1177,770,1073,2235
