Timestamp,Group,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
2025-02-12 19:47:40,G3,56.0,50.0,30.0,39.0,88.0,58.0,54.0,75.0
2025-02-12 19:47:40,G4,30.0,56.0,25.0,31.0,58.0,63.0,17.0,58.0
2025-02-12 19:47:40,G1,27.0,47.0,25.0,12.0,77.0,56.0,15.0,35.0
2025-02-12 19:47:41,G2,32.0,40.0,51.0,39.0,28.0,42.0,30.0,58.0
2025-02-12 19:47:41,G3,40.0,77.0,40.0,38.0,119.0,56.0,32.0,74.0
2025-02-12 19:47:41,G4,40.0,95.0,30.0,36.0,33.0,58.0,16.0,72.0
2025-02-12 19:47:41,G1,35.0,71.0,26.0,21.0,78.0,66.0,15.0,43.0
2025-02-12 19:47:41,G2,50.0,58.0,73.0,54.0,60.0,40.0,28.0,43.0
2025-02-12 19:47:41,G3,56.0,39.0,30.0,33.0,60.0,78.0,48.0,86.0
2025-02-12 19:47:41,G4,38.0,63.0,26.0,79.0,55.0,72.0,17.0,71.0
2025-02-12 19:47:42,G1,38.0,89.0,26.0,15.0,43.0,54.0,15.0,38.0
2025-02-12 19:47:42,G2,49.0,40.0,72.0,47.0,29.0,43.0,25.0,57.0
2025-02-12 19:47:42,G3,39.0,39.0,37.0,21.0,116.0,70.0,50.0,93.0
2025-02-12 19:47:42,G4,33.0,62.0,24.0,62.0,49.0,74.0,17.0,72.0
2025-02-12 19:47:42,G1,32.0,79.0,25.0,17.0,63.0,50.0,15.0,39.0
2025-02-12 19:47:42,G2,48.0,67.0,46.0,61.0,58.0,44.0,30.0,47.0
2025-02-12 19:47:42,G3,62.0,39.0,28.0,47.0,80.0,61.0,53.0,74.0
2025-02-12 19:47:43,G4,40.0,61.0,25.0,49.0,54.0,62.0,17.0,69.0
2025-02-12 19:47:43,G1,34.0,53.0,31.0,13.0,51.0,75.0,15.0,40.0
2025-02-12 19:47:43,G2,46.0,40.0,63.0,55.0,28.0,48.0,23.0,53.0
2025-02-12 19:47:43,G3,34.0,62.0,34.0,51.0,98.0,63.0,33.0,91.0
2025-02-12 19:47:43,G4,31.0,74.0,30.0,54.0,40.0,80.0,16.0,57.0
2025-02-12 19:47:43,G1,40.0,45.0,25.0,24.0,86.0,52.0,15.0,37.0
2025-02-12 19:47:43,G2,30.0,43.0,77.0,31.0,46.0,51.0,23.0,47.0
2025-02-12 19:47:44,G3,64.0,50.0,40.0,55.0,53.0,75.0,40.0,73.0
2025-02-12 19:47:44,G4,47.0,61.0,31.0,93.0,45.0,58.0,16.0,65.0
2025-02-12 19:47:44,G1,46.0,54.0,27.0,21.0,52.0,71.0,15.0,49.0
2025-02-12 19:47:44,G2,30.0,40.0,95.0,26.0,26.0,51.0,23.0,53.0
2025-02-12 19:47:44,G3,48.0,49.0,46.0,55.0,78.0,73.0,41.0,78.0
2025-02-12 19:47:44,G4,47.0,66.0,28.0,78.0,45.0,53.0,16.0,66.0
2025-02-12 19:47:45,G1,40.0,46.0,25.0,23.0,73.0,60.0,15.0,43.0
2025-02-12 19:47:45,G2,30.0,40.0,64.0,29.0,42.0,48.0,23.0,45.0
2025-02-12 19:47:45,G3,80.0,54.0,33.0,35.0,51.0,73.0,46.0,66.0
2025-02-12 19:47:45,G4,36.0,54.0,32.0,96.0,51.0,56.0,17.0,61.0
2025-02-12 19:47:45,G1,28.0,44.0,29.0,19.0,86.0,58.0,15.0,33.0
2025-02-12 19:47:45,G2,33.0,60.0,46.0,37.0,66.0,43.0,23.0,40.0
2025-02-12 19:47:45,G3,45.0,68.0,29.0,40.0,76.0,65.0,40.0,99.0
2025-02-12 19:47:45,G4,30.0,70.0,31.0,46.0,42.0,73.0,16.0,60.0
2025-02-12 19:47:46,G1,28.0,47.0,29.0,15.0,63.0,53.0,15.0,34.0
2025-02-12 19:47:46,G2,40.0,53.0,47.0,50.0,39.0,44.0,24.0,52.0
2025-02-12 19:47:46,G3,36.0,63.0,33.0,52.0,110.0,63.0,33.0,89.0
2025-02-12 19:47:46,G4,31.0,91.0,31.0,37.0,40.0,48.0,16.0,58.0
2025-02-12 19:47:46,G1,31.0,56.0,28.0,14.0,55.0,61.0,15.0,38.0
2025-02-12 19:47:46,G2,51.0,49.0,58.0,53.0,36.0,46.0,23.0,50.0
2025-02-12 19:47:47,G3,34.0,59.0,34.0,52.0,103.0,64.0,30.0,84.0
2025-02-12 19:47:47,G4,32.0,98.0,31.0,47.0,35.0,80.0,15.0,53.0
2025-02-12 19:47:47,G1,37.0,60.0,30.0,19.0,51.0,57.0,15.0,37.0
2025-02-12 19:47:47,G2,51.0,55.0,66.0,59.0,47.0,48.0,23.0,43.0
2025-02-12 19:47:47,G3,33.0,61.0,33.0,40.0,73.0,79.0,32.0,100.0
2025-02-12 19:47:47,G4,31.0,91.0,29.0,80.0,35.0,76.0,15.0,57.0
2025-02-12 19:47:48,G1,44.0,69.0,28.0,27.0,51.0,55.0,15.0,34.0
2025-02-12 19:47:48,G2,60.0,62.0,66.0,71.0,62.0,49.0,25.0,47.0
2025-02-12 19:47:48,G3,54.0,57.0,30.0,36.0,63.0,93.0,40.0,105.0
2025-02-12 19:47:48,G4,36.0,73.0,25.0,103.0,40.0,65.0,16.0,56.0
2025-02-12 19:47:48,G1,45.0,97.0,28.0,23.0,46.0,56.0,15.0,34.0
