time [s],duty_cycle,
2.951,0,
2.952,0,
2.953,0,
2.954,0,
2.955,0,
2.956,0,
2.957,0,
2.958,0,
2.959,0,
2.96,0,
2.961,0,
2.962,0,
2.963,0,
2.964,0,
2.965,0,
2.966,0,
2.967,0,
2.968,0,
2.969,0,
2.97,0,
2.971,0,
2.972,0,
2.973,0,
2.974,0,
2.975,0,
2.976,0,
2.977,0,
2.978,0,
2.979,0,
2.98,0,
2.981,0,
2.982,0,
2.983,0,
2.984,0,
2.985,0,
2.986,0,
2.987,0,
2.988,0,
2.989,0,
2.99,0,
2.991,0,
2.992,0,
2.993,0,
2.994,0,
2.995,0,
2.996,0,
2.997,0,
2.99848,0,
2.99985,0,
3.00111,0,
3.00236,0,
3.00349,0,
3.00451,0,
3.00512,0,
3.00561,0,
3.00608,0,
3.007,0,
3.008,0,
3.009,0,
3.01,0,
3.011,0,
3.012,0,
3.013,0,
3.014,0,
3.015,0,
3.016,0,
3.01717,0,
3.018,0,
3.019,0,
3.02,0,
3.021,0,
3.022,0,
3.023,0,
3.024,0,
3.025,0,
3.026,0,
3.027,0,
3.02884,0,
3.03042,0,
3.03098,0,
3.03194,0,
3.03245,0,
3.0337,0,
3.0342,0,
3.035,0,
3.036,0,
3.037,0,
3.038,0,
3.039,0,
3.04,0,
3.041,0,
3.042,0,
3.043,0,
3.044,0,
3.045,0,
3.046,0,
3.047,0,
3.048,0,
3.049,0,
3.05,0,
3.051,0,
3.052,0,
3.053,0,
3.054,0,
3.055,0,
3.056,0,
3.057,0,
3.058,0,
3.059,0,
3.06,0,
3.061,0,
3.062,0,
3.063,0,
3.064,0,
3.065,0,
3.066,0,
3.067,0,
3.068,0,
3.069,0,
3.07,0,
3.071,0,
3.072,0,
3.073,0,
3.074,0,
3.075,0,
3.076,0,
3.07715,0,
3.07836,0,
3.07905,0,
3.08,0,
3.081,0,
3.082,0,
3.083,0,
3.084,0,
3.085,0,
3.086,0,
3.087,0,
3.088,0,
3.089,0,
3.09,0,
3.091,0,
3.092,0,
3.093,0,
3.094,0,
3.095,0,
3.096,0,
3.097,0,
3.09804,0,
3.099,0,
3.1,0,
3.10113,0,
3.102,0,
3.103,0,
3.104,0,
3.105,0,
3.106,0,
3.107,0,
3.108,0,
3.109,0,
3.11,0,
3.111,0,
3.112,0,
3.113,0,
3.114,0,
3.115,0,
3.116,0,
3.117,0,
3.118,0,
3.119,0,
3.12,0,
3.121,0,
3.122,0,
3.12362,0,
3.12454,0,
3.12509,0,
3.126,0,
3.127,0,
3.128,0,
3.129,0,
3.13,0,
3.131,0,
3.132,0,
3.133,0,
3.134,0,
3.135,0,
3.136,0,
3.137,0,
3.138,0,
3.139,0,
3.14,0,
3.14152,0,
3.14254,0,
3.14338,0,
3.144,0,
3.145,0,
3.146,0,
3.147,0,
3.148,0,
3.149,0,
3.15,0,
3.151,0,
3.152,0,
3.153,0,
3.154,0,
3.155,0,
3.156,0,
3.157,0,
3.158,0,
3.159,0,
3.16,0,
3.161,0,
3.162,0,
3.16345,0,
3.16402,0,
3.165,0,
3.166,0,
3.167,0,
3.168,0,
3.169,0,
3.17,0,
3.171,0,
3.172,0,
3.173,0,
3.174,0,
3.175,0,
3.176,0,
3.177,0,
3.178,0,
3.179,0,
3.18,0,
3.181,0,
3.182,0,
3.183,0,
