time [s],channel_4_data.input_current_ma,channel_4_data.output_current_ma,
9.7e-07,-83,-36,
0.00100007,-83,-36,
0.00200006,-90,-33,
0.00300006,-90,-33,
0.00400004,-77,-33,
0.00500002,-77,-33,
0.00600004,-70,-30,
0.00700001,-70,-30,
0.00800001,-77,-33,
0.00900003,-77,-33,
0.01,-83,-30,
0.011,-83,-30,
0.012,-77,-30,
0.013,-77,-30,
0.0140001,-70,-33,
0.015,-70,-33,
0.016,-83,-30,
0.0170001,-83,-30,
0.0184298,-83,-33,
0.0200793,-83,-33,
0.02103,-83,-33,
0.0218662,-77,-33,
0.0227022,-77,-33,
0.0235738,-77,-33,
0.0244106,-77,-30,
0.0252411,-77,-30,
0.0262999,-83,-30,
0.0271345,-83,-30,
0.0282945,-83,-30,
0.0293746,-83,-30,
0.0304919,-77,-33,
0.0313696,-77,-33,
0.032244,-77,-36,
0.0331202,-77,-36,
0.034,-83,-33,
0.035,-83,-33,
0.036,-77,-33,
0.0370001,-77,-33,
0.0380001,-77,-33,
0.039,-77,-33,
0.04,-90,-36,
0.041,-90,-36,
0.042,-77,-33,
0.0430001,-77,-33,
0.044,-77,-33,
0.045,-77,-33,
0.0460751,-83,-33,
0.047,-83,-33,
0.048,-77,-30,
0.049,-77,-30,
0.05,-83,-30,
0.051,-83,-30,
0.052,-83,-33,
0.0530001,-83,-33,
0.0540001,-70,-36,
0.0554219,-70,-36,
0.0570117,-77,-33,
0.0578864,-77,-28,
0.0587456,-77,-28,
0.059621,-77,-28,
0.060493,-83,-36,
0.061375,-83,-36,
0.062246,-83,-33,
0.063123,-83,-33,
0.064,-83,-33,
0.0650001,-83,-33,
0.066,-83,-33,
0.067,-83,-33,
0.0683184,-77,-33,
0.069252,-77,-33,
0.070077,-77,-33,
0.071,-77,-33,
0.0720001,-77,-33,
0.073,-77,-33,
0.074,-77,-33,
0.075,-77,-33,
0.0760001,-90,-30,
0.0770001,-90,-30,
0.078,-83,-33,
0.079,-83,-33,
0.08,-83,-33,
0.081,-83,-33,
0.082,-77,-33,
0.0830005,-77,-33,
0.084,-83,-33,
0.085,-83,-33,
0.0860001,-77,-30,
0.087,-77,-30,
0.088,-83,-33,
0.089,-83,-33,
0.09,-83,-33,
0.091,-83,-33,
0.092,-83,-33,
0.093,-83,-33,
0.094,-83,-33,
0.095,-83,-33,
0.096,-83,-33,
0.097,-83,-33,
0.098,-77,-30,
0.099,-77,-30,
0.100181,-77,-30,
0.101009,-77,-30,
0.102,-83,-33,
0.103,-83,-33,
0.104,-70,-33,
0.105,-70,-33,
0.106,-77,-33,
0.107,-77,-33,
0.108,-83,-30,
0.109,-83,-30,
0.11,-83,-33,
0.111,-83,-33,
0.112,-77,-33,
0.113,-77,-33,
0.114,-77,-33,
0.115,-77,-33,
0.116586,-77,-33,
0.118289,-83,-33,
0.119907,-83,-36,
0.120704,-83,-36,
0.121741,-83,-36,
0.122466,-77,-36,
0.123195,-77,-36,
0.123918,-77,-33,
0.124661,-77,-33,
0.125372,-77,-33,
0.126068,-77,-33,
0.127,-77,-33,
0.128,-83,-33,
0.129,-83,-33,
0.13,-83,-33,
0.131,-83,-33,
0.132,-83,-30,
0.133,-83,-30,
0.134,-83,-36,
0.135,-83,-36,
0.136,-90,-33,
0.137,-90,-33,
0.138,-77,-33,
0.139,-77,-33,
0.14,-83,-33,
0.141,-83,-33,
0.142,-83,-33,
0.143,-83,-33,
0.144,-77,-28,
0.145,-77,-28,
0.146,-77,-33,
0.147,-77,-33,
0.148,-83,-33,
0.149,-83,-33,
0.15,-83,-33,
0.151,-83,-33,
0.152,-77,-30,
0.153,-77,-30,
0.154,-83,-33,
0.155152,-83,-33,
0.156557,-83,-33,
0.157665,-83,-33,
0.158368,-83,-33,
0.159067,-83,-33,
0.16,-90,-33,
0.161,-90,-33,
0.162,-83,-33,
0.163,-83,-33,
0.164301,-77,-33,
0.16565,-77,-33,
0.16649,-83,-33,
0.16727,-83,-33,
0.168079,-83,-33,
0.169,-83,-33,
0.17,-77,-33,
0.171,-77,-33,
0.172,-77,-33,
0.173,-77,-33,
0.174,-83,-30,
0.175,-83,-30,
0.176,-83,-36,
0.177,-83,-36,
0.178,-83,-33,
0.179,-83,-33,
0.18,-77,-30,
0.181622,-77,-33,
0.182531,-83,-33,
0.183295,-83,-33,
0.184122,-77,-30,
0.185,-77,-30,
0.186,-83,-33,
0.187,-83,-33,
0.188,-83,-33,
0.189,-83,-33,
0.19,-83,-33,
0.191,-83,-33,
0.192,-77,-33,
0.193,-77,-33,
0.194,-83,-36,
0.195,-83,-36,
0.196,-83,-30,
0.197,-83,-30,
0.198,-83,-36,
0.199,-83,-36,
0.2,-83,-36,
0.201,-83,-36,
0.202,-77,-36,
0.203186,-77,-36,
0.204478,-77,-33,
0.205581,-77,-33,
0.206406,-77,-30,
0.207249,-77,-30,
0.208106,-77,-33,
0.209,-77,-33,
0.21,-77,-36,
0.211,-77,-36,
0.212,-77,-30,
0.213,-77,-30,
0.214,-77,-30,
0.215,-77,-30,
0.216,-77,-30,
0.217,-77,-30,
0.218,-83,-33,
0.219,-83,-33,
0.22,-77,-30,
0.221,-77,-30,
0.222,-77,-30,
0.223,-77,-30,
0.224,-77,-36,
0.225,-77,-36,
0.226,-83,-33,
0.227,-83,-33,
0.228,-83,-33,
0.229,-83,-33,
0.23,-77,-33,
0.231,-77,-33,
0.232,-70,-33,
0.233,-70,-33,
0.234123,-83,-33,
0.235,-83,-33,
0.236,-77,-30,
0.237,-77,-30,
0.238,-83,-33,
0.239,-83,-33,
0.24,-83,-36,
0.241,-83,-36,
0.242,-70,-33,
0.243,-70,-33,
0.244,-77,-36,
0.245,-77,-36,
0.246,-83,-33,
0.247,-83,-33,
0.248,-83,-30,
0.249,-83,-30,
0.25,-83,-30,
0.251,-83,-30,
0.252,-77,-33,
0.253,-77,-33,
0.254,-77,-33,
0.255,-77,-33,
0.256,-83,-30,
0.257,-83,-30,
0.258,-83,-33,
0.259,-83,-33,
0.26,-83,-33,
0.261,-83,-33,
0.262,-90,-33,
0.263,-90,-33,
0.264,-77,-30,
0.265,-77,-30,
0.266,-77,-28,
0.267,-77,-28,
0.268,-83,-30,
0.269,-83,-30,
0.27,-77,-30,
0.271,-77,-30,
0.272074,-77,-30,
0.273132,-77,-30,
0.274349,-77,-33,
0.275156,-77,-33,
0.276,-83,-33,
0.277,-83,-33,
0.278,-77,-33,
0.279,-77,-33,
0.280004,-77,-30,
0.281,-77,-30,
0.282,-77,-30,
0.283,-77,-30,
0.284,-77,-33,
0.285,-77,-33,
0.286,-90,-33,
0.287,-90,-33,
0.288,-77,-33,
0.289,-77,-33,
0.29,-83,-33,
0.291,-83,-33,
0.292,-64,-30,
0.293,-64,-30,
0.294007,-83,-33,
0.295,-83,-33,
0.296,-83,-30,
0.297,-83,-30,
0.298,-77,-30,
0.299,-77,-30,
0.3,-83,-33,
0.301,-83,-33,
0.302,-77,-30,
0.303,-77,-30,
0.304,-77,-30,
0.305,-77,-30,
0.306,-77,-30,
0.307,-77,-30,
0.308,-77,-33,
0.309,-77,-33,
0.31,-77,-33,
0.311,-77,-33,
0.312,-77,-33,
0.313,-77,-33,
0.314,-83,-33,
0.315,-83,-33,
0.316,-83,-30,
0.31716,-83,-30,
0.318801,-70,-30,
0.320279,-77,-30,
0.321678,-77,-30,
0.322394,-77,-33,
0.323113,-77,-33,
0.323821,-77,-33,
0.324552,-83,-33,
0.32528,-83,-33,
0.326,-83,-30,
0.327,-83,-30,
0.328,-83,-30,
0.329,-83,-30,
0.33,-83,-33,
0.331,-83,-33,
0.332,-77,-33,
0.333,-77,-33,
0.334,-77,-33,
0.335,-77,-33,
0.336,-83,-33,
0.337,-83,-33,
0.338,-77,-30,
0.339,-77,-30,
0.34,-77,-33,
0.341,-77,-33,
0.342,-77,-30,
0.343,-77,-30,
0.344,-77,-33,
0.345,-77,-33,
0.346,-77,-33,
0.347,-77,-33,
0.348,-70,-30,
0.349,-70,-30,
0.35,-83,-30,
0.351,-83,-30,
0.352,-77,-33,
0.353,-77,-33,
0.354,-70,-33,
0.355,-70,-33,
0.356,-83,-30,
0.357,-83,-30,
0.358,-77,-33,
0.359,-77,-33,
0.36,-77,-30,
0.361,-77,-30,
0.362,-70,-30,
0.363,-70,-30,
0.364,-77,-30,
0.365,-77,-30,
0.366,-83,-36,
0.367,-83,-36,
0.368,-70,-33,
0.369,-70,-33,
0.37,-77,-33,
0.371,-77,-33,
0.372,-77,-30,
0.373,-77,-30,
0.374,-83,-33,
0.375,-83,-33,
0.376,-83,-30,
0.377,-83,-30,
0.378,-83,-33,
0.379,-83,-33,
0.38,-77,-30,
0.381,-77,-30,
0.382,-70,-33,
0.383215,-70,-33,
0.384866,-77,-33,
0.385593,-77,-33,
0.386334,-83,-33,
0.387022,-83,-33,
0.388,-83,-33,
0.389,-83,-33,
0.39,-90,-33,
0.391,-90,-33,
0.392,-83,-33,
0.393,-83,-33,
0.394,-77,-30,
0.395,-77,-30,
0.396,-90,-30,
0.397,-90,-30,
0.398,-83,-36,
0.399,-83,-36,
0.4,-83,-30,
0.401,-83,-30,
0.402,-83,-33,
0.403,-83,-33,
0.404,-77,-33,
0.405,-77,-33,
0.406,-83,-33,
0.407,-83,-33,
0.408,-77,-33,
0.409,-77,-33,
0.41,-83,-33,
0.411,-83,-33,
0.412,-77,-30,
0.413,-77,-30,
0.414,-83,-36,
0.415,-83,-36,
0.416,-83,-33,
0.417,-83,-33,
0.418,-83,-30,
0.419,-83,-30,
0.42,-77,-30,
0.421,-77,-30,
0.422,-83,-33,
0.423,-83,-33,
0.424,-83,-33,
0.425,-83,-33,
0.426,-77,-33,
0.427,-77,-33,
0.428,-83,-33,
0.429,-83,-33,
0.43,-90,-33,
0.431,-90,-33,
0.432,-83,-33,
0.433,-83,-33,
0.434,-77,-33,
0.435,-77,-33,
0.436,-90,-33,
0.437,-90,-33,
0.438,-83,-33,
0.439,-83,-33,
0.44,-83,-36,
0.441,-83,-36,
0.44213,-77,-30,
0.443167,-77,-30,
0.444,-83,-30,
0.445,-83,-30,
0.446,-77,-33,
0.447,-77,-33,
0.448,-77,-33,
0.449,-77,-33,
0.45,-77,-33,
0.451,-77,-33,
0.452,-77,-33,
0.453,-77,-33,
0.454,-83,-36,
0.455,-83,-36,
0.456,-90,-33,
0.457,-90,-33,
0.458,-83,-33,
0.459,-83,-33,
0.46,-77,-33,
0.461,-77,-33,
0.462,-83,-33,
0.463,-83,-33,
0.464,-83,-33,
0.465,-83,-33,
0.466,-83,-33,
0.467,-83,-33,
0.468,-77,-33,
0.469,-77,-33,
0.47,-77,-33,
0.471,-77,-33,
0.472,-83,-33,
0.47336,-83,-33,
0.474626,-83,-33,
0.475333,-83,-33,
0.476051,-83,-30,
0.477,-83,-30,
0.478,-83,-36,
0.479,-83,-36,
0.48,-77,-33,
0.481,-77,-33,
0.482,-83,-33,
0.483,-83,-33,
0.484,-83,-33,
0.485,-83,-33,
0.486,-83,-33,
0.487,-83,-33,
0.488,-90,-33,
0.489,-90,-33,
0.49,-83,-30,
0.491,-83,-30,
0.492,-70,-33,
0.493,-70,-33,
0.494,-83,-33,
0.495,-83,-33,
0.496,-70,-33,
0.497,-70,-33,
0.498,-77,-30,
0.499,-77,-30,
0.500145,-77,-28,
0.501,-77,-28,
0.502,-83,-33,
0.503,-83,-33,
0.504005,-77,-30,
0.505607,-77,-30,
0.506589,-83,-30,
0.507381,-83,-30,
0.508744,-90,-33,
0.510352,-83,-33,
0.511573,-83,-33,
0.51237,-77,-33,
0.513293,-77,-33,
0.514051,-83,-33,
0.514897,-83,-33,
0.515763,-83,-33,
0.516669,-83,-33,
0.518151,-77,-30,
0.519789,-77,-33,
0.520988,-77,-33,
0.521703,-77,-33,
0.522425,-77,-28,
0.523122,-77,-28,
0.523846,-77,-30,
0.524546,-77,-30,
0.525415,-77,-30,
0.526661,-83,-33,
0.527629,-83,-33,
0.528501,-83,-30,
0.529357,-83,-30,
0.530208,-77,-33,
0.531085,-77,-33,
0.532,-77,-33,
