time [s],channel_4_data.input_voltage,channel_4_data.output_voltage,
9.7e-07,5791,12448,
0.00100007,5791,12448,
0.00200006,5791,12434,
0.00300006,5791,12434,
0.00400004,5798,12448,
0.00500002,5798,12448,
0.00600004,5798,12434,
0.00700001,5798,12434,
0.00800001,5791,12448,
0.00900003,5791,12448,
0.01,5787,12448,
0.011,5787,12448,
0.012,5791,12448,
0.013,5791,12448,
0.0140001,5794,12448,
0.015,5794,12448,
0.016,5798,12448,
0.0170001,5798,12448,
0.0184298,5791,12448,
0.0200793,5791,12448,
0.02103,5791,12448,
0.0218662,5791,12448,
0.0227022,5791,12448,
0.0235738,5794,12448,
0.0244106,5794,12448,
0.0252411,5794,12448,
0.0262999,5798,12448,
0.0271345,5798,12448,
0.0282945,5791,12434,
0.0293746,5791,12448,
0.0304919,5791,12448,
0.0313696,5791,12448,
0.032244,5791,12448,
0.0331202,5791,12448,
0.034,5798,12448,
0.035,5798,12448,
0.036,5798,12434,
0.0370001,5798,12434,
0.0380001,5794,12448,
0.039,5794,12448,
0.04,5787,12448,
0.041,5787,12448,
0.042,5791,12434,
0.0430001,5791,12434,
0.044,5794,12448,
0.045,5794,12448,
0.0460751,5794,12434,
0.047,5794,12434,
0.048,5794,12448,
0.049,5794,12448,
0.05,5791,12448,
0.051,5791,12448,
0.052,5791,12434,
0.0530001,5791,12434,
0.0540001,5794,12434,
0.0554219,5794,12448,
0.0570117,5794,12448,
0.0578864,5794,12434,
0.0587456,5794,12434,
0.059621,5791,12434,
0.060493,5791,12434,
0.061375,5791,12434,
0.062246,5791,12448,
0.063123,5791,12448,
0.064,5798,12448,
0.0650001,5798,12448,
0.066,5798,12434,
0.067,5798,12434,
0.0683184,5794,12434,
0.069252,5794,12434,
0.070077,5791,12448,
0.071,5791,12448,
0.0720001,5791,12448,
0.073,5791,12448,
0.074,5798,12434,
0.075,5798,12434,
0.0760001,5798,12448,
0.0770001,5798,12448,
0.078,5798,12434,
0.079,5798,12434,
0.08,5791,12448,
0.081,5791,12448,
0.082,5791,12448,
0.0830005,5791,12448,
0.084,5798,12448,
0.085,5798,12448,
0.0860001,5801,12448,
0.087,5801,12448,
0.088,5794,12448,
0.089,5794,12448,
0.09,5791,12448,
0.091,5791,12448,
0.092,5791,12448,
0.093,5791,12448,
0.094,5798,12448,
0.095,5798,12448,
0.096,5798,12448,
0.097,5798,12448,
0.098,5794,12448,
0.099,5794,12448,
0.100181,5791,12434,
0.101009,5791,12434,
0.102,5794,12434,
