time [s],duty_cycle,mppt_found,power_derivative,
9.7e-07,0,0,0,
0.00100007,0,0,0,
0.00200006,0,0,0,
0.00300006,0,0,0,
0.00400004,0,0,0,
0.00500002,0,0,0,
0.00600004,0,0,0,
0.00700001,0,0,0,
0.00800001,0,0,0,
0.00900003,0,0,0,
0.01,0,0,0,
0.011,0,0,0,
0.012,0,0,0,
0.013,0,0,0,
0.0140001,0,0,0,
0.015,0,0,0,
0.016,0,0,0,
0.0170001,0,0,0,
0.0184298,0,0,0,
0.0200793,0,0,0,
0.02103,0,0,0,
0.0218662,0,0,0,
0.0227022,0,0,0,
0.0235738,0,0,0,
0.0244106,0,0,0,
0.0252411,0,0,0,
0.0262999,0,0,0,
0.0271345,0,0,0,
0.0282945,0,0,0,
0.0293746,0,0,0,
0.0304919,0,0,0,
0.0313696,0,0,0,
0.032244,0,0,0,
0.0331202,0,0,0,
0.034,0,0,0,
0.035,0,0,0,
0.036,0,0,0,
0.0370001,0,0,0,
0.0380001,0,0,0,
0.039,0,0,0,
0.04,0,0,0,
0.041,0,0,0,
0.042,0,0,0,
0.0430001,0,0,0,
0.044,0,0,0,
0.045,0,0,0,
0.0460751,0,0,0,
0.047,0,0,0,
0.048,0,0,0,
0.049,0,0,0,
0.05,0,0,0,
0.051,0,0,0,
0.052,0,0,0,
0.0530001,0,0,0,
0.0540001,0,0,0,
0.0554219,0,0,0,
0.0570117,0,0,0,
0.0578864,0,0,0,
0.0587456,0,0,0,
0.059621,0,0,0,
0.060493,0,0,0,
0.061375,0,0,0,
0.062246,0,0,0,
0.063123,0,0,0,
0.064,0,0,0,
0.0650001,0,0,0,
0.066,0,0,0,
0.067,0,0,0,
0.0683184,0,0,0,
0.069252,0,0,0,
0.070077,0,0,0,
0.071,0,0,0,
0.0720001,0,0,0,
0.073,0,0,0,
0.074,0,0,0,
0.075,0,0,0,
0.0760001,0,0,0,
0.0770001,0,0,0,
0.078,0,0,0,
0.079,0,0,0,
0.08,0,0,0,
0.081,0,0,0,
0.082,0,0,0,
0.0830005,0,0,0,
0.084,0,0,0,
0.085,0,0,0,
0.0860001,0,0,0,
0.087,0,0,0,
0.088,0,0,0,
0.089,0,0,0,
0.09,0,0,0,
0.091,0,0,0,
0.092,0,0,0,
0.093,0,0,0,
0.094,0,0,0,
0.095,0,0,0,
0.096,0,0,0,
0.097,0,0,0,
0.098,0,0,0,
0.099,0,0,0,
0.100181,0,0,0,
0.101009,0,0,0,
0.102,0,0,0,
0.103,0,0,0,
0.104,0,0,0,
0.105,0,0,0,
0.106,0,0,0,
0.107,0,0,0,
0.108,0,0,0,
0.109,0,0,0,
0.11,0,0,0,
0.111,0,0,0,
