Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
184,184,4322,4438,4778,4552,738,714,702,705,0
184,286,4238,4324,4874,4613,751,714,701,704,0
286,286,4203,4312,4876,4650,751,715,701,704,0
286,184,4248,4410,4788,4633,752,715,702,704,0
388,184,4305,4496,4729,4554,751,714,701,705,0
491,184,4288,4489,4775,4548,751,714,702,704,0
491,286,4257,4403,4851,4532,751,714,702,705,0
388,286,4253,4381,4882,4519,751,714,701,704,0
388,388,4318,4482,4793,4524,751,714,702,704,0
491,388,4414,4548,4709,4486,751,714,702,704,0
491,491,4473,4533,4654,4454,752,714,701,704,0
388,491,4457,4526,4661,4485,751,714,702,704,0
286,491,4383,4492,4746,4562,751,715,702,704,0
286,388,4291,4443,4782,4631,751,715,702,704,0
184,388,4317,4451,4730,4632,751,715,701,704,0
184,491,4363,4449,4718,4615,751,715,702,704,0
184,593,4284,4369,4754,4698,751,714,702,704,0
286,593,4231,4322,4808,4759,751,715,701,704,0
286,695,4270,4355,4802,4722,751,714,702,704,0
184,695,4356,4414,4731,4604,751,714,702,704,0
184,798,4350,4428,4696,4577,751,715,702,704,0
184,900,4328,4392,4643,4584,751,715,702,705,0
286,900,4396,4400,4645,4555,751,714,701,704,0
286,798,4482,4426,4644,4484,751,714,702,704,0
388,798,4499,4459,4656,4477,751,714,701,704,0
388,900,4406,4453,4679,4523,751,714,702,704,0
491,900,4359,4427,4675,4549,751,714,702,704,0
491,798,4441,4425,4621,4494,751,714,701,704,0
491,695,4529,4421,4624,4466,751,714,701,704,0
388,695,4446,4458,4637,4489,751,714,702,704,0
388,593,4315,4464,4677,4559,751,715,702,704,0
491,593,4347,4476,4724,4558,751,714,702,704,0
593,593,4473,4488,4693,4485,751,715,701,704,0
695,593,4524,4471,4659,4437,751,714,701,704,0
695,695,4518,4466,4603,4430,751,715,702,704,0
593,695,4508,4488,4625,4457,750,714,702,704,0
593,798,4488,4508,4648,4467,751,714,701,704,0
593,900,4478,4529,4681,4471,751,715,702,704,0
695,900,4511,4511,4619,4427,751,715,701,704,0
695,798,4535,4487,4580,4432,751,715,702,704,0
798,798,4559,4479,4560,4425,751,714,701,704,0
798,900,4529,4516,4649,4469,751,714,701,704,0
900,900,4514,4529,4673,4511,751,714,701,704,0
900,798,4541,4517,4662,4499,751,714,702,704,0
900,695,4633,4436,4631,4466,751,715,702,704,0
798,695,4645,4439,4645,4484,751,714,701,704,0
798,593,4584,4452,4620,4493,751,715,702,705,0
900,593,4399,4481,4704,4568,751,714,702,704,0
900,491,4450,4485,4687,4546,751,714,702,704,0
900,388,4525,4505,4641,4502,751,715,702,704,0
798,388,4564,4499,4631,4468,751,715,701,704,0
798,491,4458,4526,4680,4509,751,714,701,704,0
695,491,4405,4500,4756,4538,751,714,701,704,0
593,491,4400,4476,4758,4546,751,714,701,704,0
593,388,4483,4495,4709,4510,751,714,701,704,0
695,388,4479,4504,4707,4476,751,714,701,704,0
695,286,4498,4502,4722,4476,751,714,702,704,0
593,286,4417,4485,4793,4529,751,715,702,704,0
593,184,4323,4404,4842,4552,751,715,702,704,0
695,184,4301,4396,4842,4542,751,714,702,704,0
798,184,4368,4460,4770,4548,752,715,701,704,0
798,286,4486,4469,4703,4517,751,714,702,704,0
900,286,4479,4459,4732,4529,751,714,701,704,0
