Setpoint_X,Setpoint_Y,INE,INW,ISE,ISW,ONE,ONW,OSE,OSW,CIR
184,184,4303,4426,4719,4579,738,715,702,704,0
184,286,4214,4327,4821,4627,751,715,701,704,0
286,286,4184,4310,4844,4657,751,714,701,704,0
286,184,4223,4368,4741,4657,751,714,701,704,0
388,184,4292,4425,4696,4613,751,715,701,704,0
491,184,4296,4431,4717,4609,751,715,701,704,0
491,286,4268,4372,4772,4585,751,715,702,704,0
388,286,4275,4361,4783,4549,751,714,701,705,0
388,388,4342,4445,4687,4550,751,715,702,704,0
491,388,4424,4482,4614,4513,751,714,701,704,0
491,491,4465,4475,4595,4488,751,714,701,704,0
388,491,4442,4485,4612,4509,751,714,701,704,0
286,491,4351,4469,4685,4571,751,714,702,704,0
286,388,4256,4417,4745,4627,751,715,701,704,0
184,388,4273,4424,4710,4635,751,714,702,704,0
184,491,4270,4399,4676,4640,751,714,702,704,0
184,593,4184,4329,4706,4708,751,714,701,704,0
286,593,4116,4289,4728,4765,751,715,702,704,0
286,695,4200,4348,4700,4697,751,715,702,704,0
184,695,4327,4401,4628,4594,751,714,702,704,0
184,798,4344,4422,4612,4574,751,714,702,704,0
184,900,4341,4420,4632,4568,751,715,701,704,0
286,900,4400,4440,4591,4532,751,715,701,704,0
286,798,4477,4444,4553,4482,751,714,702,704,0
388,798,4474,4465,4581,4481,751,715,702,705,0
388,900,4399,4460,4619,4521,751,715,701,704,0
491,900,4358,4444,4640,4545,751,715,701,704,0
491,798,4408,4427,4595,4521,751,715,702,704,0
491,695,4438,4401,4559,4498,751,715,702,704,0
388,695,4354,4416,4605,4553,751,715,701,704,0
388,593,4262,4403,4687,4609,751,714,702,704,0
491,593,4287,4450,4718,4581,751,715,701,704,0
593,593,4426,4472,4633,4507,751,714,702,704,0
695,593,4490,4476,4630,4465,751,715,702,704,0
695,695,4491,4459,4590,4453,751,715,702,704,0
593,695,4480,4482,4615,4467,751,714,702,704,0
593,798,4480,4484,4623,4475,751,714,701,704,0
593,900,4476,4500,4634,4479,751,715,702,704,0
695,900,4494,4463,4578,4458,751,715,702,704,0
695,798,4511,4442,4576,4466,751,715,701,704,0
798,798,4533,4432,4584,4450,750,715,701,704,0
798,900,4486,4492,4628,4475,751,714,701,704,0
900,900,4447,4497,4635,4490,751,715,701,704,0
900,798,4454,4489,4613,4478,751,714,702,705,0
900,695,4567,4424,4589,4432,751,715,702,705,0
798,695,4590,4438,4591,4442,751,714,702,704,0
798,593,4539,4456,4602,4451,751,714,702,704,0
900,593,4412,4486,4678,4517,751,715,702,704,0
900,491,4482,4480,4650,4488,751,714,702,704,0
900,388,4552,4455,4615,4463,751,715,702,704,0
798,388,4548,4438,4602,4444,751,714,701,704,0
798,491,4442,4490,4645,4496,751,715,702,704,0
695,491,4391,4475,4680,4521,751,714,702,704,0
593,491,4416,4473,4704,4523,751,714,702,704,0
593,388,4451,4478,4652,4496,751,714,701,704,0
695,388,4434,4472,4643,4498,751,714,702,704,0
695,286,4452,4473,4657,4492,751,714,701,704,0
593,286,4410,4439,4704,4521,751,714,702,704,0
593,184,4319,4368,4778,4521,751,715,701,704,0
695,184,4290,4360,4797,4530,751,714,701,704,0
798,184,4356,4432,4707,4529,751,714,701,704,0
798,286,4474,4458,4641,4486,751,714,701,704,0
900,286,4459,4457,4658,4498,750,714,702,704,0
900,184,4364,4419,4680,4512,751,714,701,704,0
1002,184,4319,4377,4718,4492,751,714,702,704,0
1105,184,4390,4342,4644,4495,751,714,702,704,0
1105,286,4462,4357,4599,4509,751,714,701,704,0
1002,286,4478,4393,4597,4500,751,714,701,704,0
1002,388,4467,4428,4618,4492,751,715,702,704,0
1002,491,4464,4405,4618,4503,751,715,702,704,0
1105,491,4490,4402,4609,4499,751,714,701,704,0
1105,388,4505,4435,4615,4489,751,715,702,704,0
1207,388,4507,4459,4611,4478,751,714,702,704,0
1207,491,4504,4438,4614,4503,751,714,701,704,0
1309,491,4516,4399,4598,4494,751,715,702,704,0
1309,388,4497,4401,4588,4504,751,715,701,704,0
1309,286,4525,4373,4567,4501,751,715,702,704,0
1207,286,4511,4342,4559,4541,751,714,701,704,0
1207,184,4529,4296,4548,4576,751,715,701,704,0
1309,184,4441,4304,4571,4582,751,715,701,704,0
1412,184,4437,4316,4590,4553,751,715,701,704,0
1412,286,4472,4336,4588,4548,751,715,702,704,0
1514,286,4554,4332,4552,4538,751,714,701,704,0
1514,184,4519,4367,4572,4535,751,715,702,704,0
1616,184,4494,4365,4586,4539,751,714,701,704,0
1719,184,4423,4311,4589,4600,752,715,702,705,0
1719,286,4507,4266,4498,4666,751,714,702,704,0
1616,286,4560,4259,4484,4681,751,715,702,704,0
1616,388,4629,4218,4491,4641,751,715,702,704,0
1719,388,4615,4214,4482,4666,751,714,702,705,0
1719,491,4615,4175,4485,4702,751,714,701,704,0
1616,491,4587,4202,4480,4722,751,714,701,704,0
1514,491,4612,4245,4499,4637,751,715,702,704,0
1514,388,4592,4307,4531,4574,751,714,702,704,0
1412,388,4633,4287,4521,4559,751,714,701,704,0
1412,491,4552,4317,4549,4554,751,714,702,705,0
1412,593,4482,4373,4587,4519,751,715,701,704,0
1412,695,4490,4409,4592,4503,751,715,701,704,0
1514,695,4651,4325,4550,4486,751,715,702,704,0
1514,593,4709,4260,4541,4525,751,714,702,704,0
1616,593,4680,4238,4514,4566,751,714,702,704,0
1719,593,4588,4255,4487,4651,751,714,701,704,0
1719,695,4585,4232,4467,4705,751,714,702,704,0
1616,695,4641,4185,4499,4695,751,714,701,704,0
1616,798,4669,4174,4541,4630,751,715,701,704,0
1719,798,4687,4210,4516,4565,751,715,702,704,0
1719,900,4672,4232,4486,4563,751,715,701,704,0
1616,900,4638,4228,4496,4584,751,715,702,704,0
1514,900,4637,4269,4493,4544,751,714,701,704,0
1514,798,4655,4321,4517,4494,751,714,702,704,0
1412,798,4679,4328,4548,4501,751,715,702,704,0
1412,900,4705,4278,4544,4515,751,714,702,704,0
1309,900,4657,4285,4508,4548,751,714,701,705,0
1207,900,4640,4325,4516,4518,751,715,701,704,0
1207,798,4636,4339,4506,4515,751,714,702,704,0
1309,798,4701,4295,4533,4521,751,714,702,704,0
1309,695,4699,4271,4524,4540,751,714,702,704,0
1309,593,4647,4295,4511,4509,751,715,701,704,0
1207,593,4491,4388,4565,4527,751,715,702,705,0
1207,695,4530,4369,4556,4523,751,715,702,704,0
1105,695,4610,4351,4512,4512,751,714,702,704,0
1105,593,4653,4350,4517,4484,751,715,701,704,0
1002,593,4602,4399,4515,4480,750,714,701,705,0
1002,695,4584,4408,4542,4501,751,715,702,704,0
1002,798,4484,4413,4596,4541,751,715,701,704,0
1105,798,4596,4399,4544,4498,751,715,701,704,0
1105,900,4634,4422,4554,4482,751,715,702,704,0
1002,900,4658,4395,4535,4485,751,714,701,704,0
1002,1002,4663,4410,4558,4502,751,715,702,704,0
1105,1002,4635,4401,4532,4492,751,714,701,704,0
1105,1105,4565,4442,4536,4513,751,715,701,704,0
1002,1105,4648,4390,4537,4496,751,714,702,704,0
1002,1207,4652,4408,4522,4535,751,714,701,704,0
1002,1309,4637,4421,4537,4523,751,714,701,704,0
1105,1309,4627,4429,4519,4502,751,715,701,704,0
1105,1207,4646,4419,4529,4509,751,715,702,704,0
1207,1207,4662,4398,4557,4526,751,715,702,705,0
