Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
1770,1770,2266,2306,2216,2220,731,710,697,700,0
1770,1770,2266,2306,2216,2220,730,710,697,700,0
1770,1770,2266,2306,2216,2220,730,711,697,700,0
1770,1770,2267,2306,2217,2221,731,712,699,701,0
1770,1770,2267,2305,2216,2220,730,710,697,700,0
1770,1770,2266,2305,2215,2220,731,711,697,700,0
1770,1770,2266,2306,2216,2221,731,710,698,700,0
1770,1770,2266,2306,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2215,2220,731,710,697,699,0
1770,1770,2267,2306,2216,2220,731,710,697,699,0
1770,1770,2266,2306,2215,2220,731,710,697,700,0
1770,1770,2266,2305,2216,2220,731,710,697,699,0
1770,1770,2267,2305,2216,2220,732,711,698,700,0
1770,1770,2266,2305,2215,2220,730,710,697,700,0
1770,1770,2267,2306,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2215,2220,731,710,697,700,0
1770,1770,2266,2306,2216,2220,731,711,697,700,0
1770,1770,2266,2306,2216,2220,730,710,698,700,0
1770,1770,2266,2306,2216,2220,730,710,697,700,0
1770,1770,2266,2306,2215,2220,731,711,697,700,0
1770,1770,2266,2306,2216,2220,731,710,697,700,0
1770,1770,2266,2306,2216,2220,731,711,698,700,0
1770,1770,2266,2305,2215,2220,730,710,697,699,0
1770,1770,2266,2305,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2216,2220,730,710,697,700,0
1770,1770,2266,2305,2216,2220,731,710,697,700,0
1770,1770,2267,2306,2216,2220,731,710,698,699,0
1770,1770,2266,2306,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2216,2220,731,710,697,700,0
1770,1770,2265,2305,2215,2220,731,710,697,699,0
1770,1770,2266,2305,2216,2220,731,711,697,700,0
1770,1770,2266,2306,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2215,2220,731,710,697,700,0
1770,1770,2266,2306,2216,2220,731,710,698,700,0
1770,1770,2266,2306,2216,2220,731,711,697,700,0
1770,1770,2266,2305,2216,2221,731,710,697,699,0
1770,1770,2266,2305,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2216,2220,730,710,697,700,0
1770,1770,2266,2305,2216,2220,730,710,697,700,0
1770,1770,2267,2306,2216,2220,731,710,697,700,0
1770,1770,2267,2306,2216,2220,731,710,697,700,0
1770,1770,2266,2306,2216,2220,731,710,697,700,0
1770,1770,2266,2306,2216,2220,731,711,698,700,0
1770,1770,2266,2306,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2216,2220,731,710,697,700,0
1770,1770,2266,2306,2215,2220,731,711,698,700,0
1770,1770,2267,2306,2216,2220,731,711,697,699,0
1770,1770,2266,2305,2216,2220,730,710,697,700,0
1770,1770,2266,2305,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2216,2220,731,710,697,700,0
1770,1770,2266,2305,2216,2220,730,710,697,700,0
1770,1770,2267,2306,2217,2221,732,711,698,701,0
1770,1770,2266,2305,2216,2220,731,710,697,699,0
