Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
1770,1770,2276,2315,2225,2228,735,714,701,703,0
1770,1770,2276,2314,2225,2229,734,714,701,702,0
1770,1770,2276,2314,2225,2228,734,714,701,703,0
1770,1770,2275,2314,2225,2228,734,714,700,703,0
1770,1770,2276,2314,2225,2229,734,714,700,702,0
1770,1770,2275,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2226,2229,735,714,701,703,0
1770,1770,2275,2315,2225,2229,734,714,700,702,0
1770,1770,2275,2315,2225,2228,734,713,700,702,0
1770,1770,2276,2315,2225,2228,735,713,700,703,0
1770,1770,2276,2315,2225,2229,735,713,701,704,0
1770,1770,2276,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2314,2225,2229,734,713,700,702,0
1770,1770,2276,2314,2225,2229,734,713,700,702,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,734,714,701,703,0
1770,1770,2276,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2315,2225,2229,734,713,701,703,0
1770,1770,2275,2314,2225,2229,734,714,701,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2276,2315,2225,2228,735,714,700,703,0
1770,1770,2275,2314,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2275,2314,2225,2229,734,713,700,702,0
1770,1770,2276,2314,2225,2229,735,713,701,703,0
1770,1770,2275,2315,2225,2229,735,713,700,702,0
1770,1770,2275,2314,2225,2229,735,713,701,703,0
1770,1770,2276,2314,2225,2228,734,713,700,703,0
1770,1770,2275,2314,2225,2228,734,714,700,703,0
1770,1770,2276,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2315,2225,2229,735,713,701,703,0
1770,1770,2276,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2275,2315,2225,2228,735,714,701,703,0
1770,1770,2275,2314,2224,2228,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2314,2225,2229,734,714,700,703,0
1770,1770,2276,2314,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2314,2225,2229,734,713,701,703,0
1770,1770,2275,2315,2225,2229,735,713,701,703,0
1770,1770,2276,2315,2225,2228,734,714,700,703,0
1770,1770,2276,2315,2225,2229,734,713,700,702,0
1770,1770,2276,2314,2226,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2275,2314,2225,2228,734,713,701,703,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2275,2315,2225,2229,735,713,700,703,0
1770,1770,2276,2314,2225,2229,734,714,700,702,0
1770,1770,2275,2314,2225,2229,734,713,700,703,0
1770,1770,2275,2314,2225,2228,734,713,700,703,0
1770,1770,2275,2315,2224,2229,734,713,701,703,0
1770,1770,2276,2315,2225,2228,734,714,701,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2276,2314,2225,2228,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,713,701,703,0
1770,1770,2276,2315,2225,2228,735,713,701,702,0
1770,1770,2276,2315,2225,2228,734,713,700,703,0
1770,1770,2276,2315,2225,2228,734,713,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2228,734,714,701,703,0
1770,1770,2276,2314,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,734,714,701,704,0
1770,1770,2275,2314,2225,2229,735,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2314,2225,2228,735,713,700,703,0
1770,1770,2276,2315,2225,2229,734,714,701,703,0
1770,1770,2276,2314,2225,2229,735,714,700,703,0
1770,1770,2276,2314,2225,2229,734,713,700,703,0
1770,1770,2275,2315,2225,2229,734,713,701,703,0
1770,1770,2275,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2275,2315,2225,2228,734,714,701,702,0
1770,1770,2275,2314,2225,2228,734,714,700,703,0
1770,1770,2276,2315,2225,2230,734,713,701,703,0
1770,1770,2276,2314,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2314,2225,2229,735,713,701,703,0
1770,1770,2275,2314,2225,2228,735,713,700,703,0
1770,1770,2276,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2315,2225,2229,734,713,700,702,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2275,2315,2225,2228,734,713,700,703,0
1770,1770,2275,2315,2225,2229,734,714,701,703,0
1770,1770,2276,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2314,2225,2229,734,713,699,703,0
1770,1770,2275,2314,2225,2229,734,713,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2275,2315,2225,2229,734,714,700,703,0
1770,1770,2275,2314,2225,2228,734,713,700,703,0
1770,1770,2276,2314,2225,2229,734,714,700,703,0
1770,1770,2276,2314,2224,2228,735,713,700,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2275,2315,2225,2229,735,713,700,703,0
1770,1770,2275,2315,2225,2229,734,713,701,703,0
1770,1770,2276,2315,2225,2228,735,714,700,703,0
1770,1770,2276,2315,2225,2228,734,714,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2314,2225,2229,735,713,700,703,0
1770,1770,2275,2314,2224,2228,734,714,700,703,0
1770,1770,2275,2314,2225,2228,734,714,701,703,0
1770,1770,2276,2314,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2276,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,714,701,703,0
1770,1770,2275,2314,2225,2228,735,714,700,703,0
1770,1770,2276,2315,2225,2228,735,714,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2314,2225,2229,734,714,700,703,0
1770,1770,2275,2314,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2228,734,713,701,703,0
1770,1770,2275,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2314,2225,2228,735,713,700,703,0
1770,1770,2276,2315,2225,2229,734,714,701,703,0
1770,1770,2275,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2275,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,735,714,701,704,0
1770,1770,2276,2314,2224,2229,734,713,699,703,0
1770,1770,2276,2314,2225,2229,734,714,700,703,0
1770,1770,2276,2314,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,735,714,701,704,0
1770,1770,2276,2315,2225,2229,734,713,701,703,0
1770,1770,2275,2315,2225,2229,735,714,700,703,0
1770,1770,2275,2315,2225,2229,734,714,701,703,0
1770,1770,2275,2315,2225,2228,735,714,701,703,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2275,2315,2225,2229,734,714,700,703,0
1770,1770,2275,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2314,2225,2229,735,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2314,2225,2229,734,714,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2275,2314,2225,2228,734,713,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2314,2225,2229,734,714,701,703,0
1770,1770,2276,2315,2225,2229,734,713,701,703,0
1770,1770,2276,2314,2225,2229,735,713,701,703,0
1770,1770,2275,2314,2225,2229,734,713,701,702,0
1770,1770,2276,2315,2225,2229,734,713,701,703,0
1770,1770,2276,2315,2225,2229,734,713,701,703,0
1770,1770,2275,2315,2225,2229,735,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2275,2314,2225,2229,735,713,700,702,0
1770,1770,2275,2314,2225,2229,734,714,700,703,0
1770,1770,2275,2314,2225,2228,735,713,701,703,0
1770,1770,2275,2314,2225,2228,734,713,700,703,0
1770,1770,2275,2314,2225,2229,734,713,701,703,0
1770,1770,2275,2314,2225,2229,734,713,701,703,0
1770,1770,2276,2314,2225,2228,734,714,700,703,0
1770,1770,2276,2315,2225,2228,735,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2275,2315,2225,2228,734,714,701,703,0
1770,1770,2276,2314,2225,2228,734,713,701,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2314,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2228,734,714,701,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2275,2314,2225,2229,734,714,701,703,0
1770,1770,2276,2315,2225,2228,734,713,701,703,0
1770,1770,2276,2315,2225,2229,734,713,700,703,0
1770,1770,2275,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,714,701,703,0
1770,1770,2276,2315,2225,2229,735,713,700,702,0
1770,1770,2275,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2315,2225,2228,734,713,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2314,2225,2229,734,714,700,703,0
1770,1770,2275,2315,2225,2229,735,714,700,704,0
1770,1770,2275,2315,2225,2229,735,714,700,703,0
1770,1770,2275,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2315,2225,2229,735,714,700,703,0
1770,1770,2277,2315,2226,2229,735,714,701,704,0
1770,1770,2275,2314,2225,2229,735,714,700,703,0
1770,1770,2276,2315,2225,2229,735,714,701,703,0
1770,1770,2276,2314,2225,2228,734,714,701,703,0
1770,1770,2275,2314,2225,2228,734,713,699,703,0
1770,1770,2275,2315,2225,2229,734,714,701,703,0
1770,1770,2276,2315,2225,2229,735,713,700,703,0
1770,1770,2276,2315,2225,2229,734,713,700,703,0
1770,1770,2276,2314,2225,2228,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,713,700,703,0
1770,1770,2275,2315,2225,2229,734,713,700,702,0
1770,1770,2275,2314,2225,2228,734,713,700,703,0
1770,1770,2276,2314,2225,2228,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,714,700,703,0
1770,1770,2276,2315,2225,2230,735,713,701,703,0
1770,1770,2275,2315,2225,2229,735,714,700,703,0
1770,1770,2276,2314,2225,2228,734,713,701,703,0
1770,1770,2275,2314,2225,2229,734,713,700,703,0
1770,1770,2276,2315,2225,2229,734,713,701,703,0
1770,1770,2275,2314,2225,2229,735,713,700,703,0
1770,1770,2276,2314,2225,2228,735,714,700,703,0
