Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
1770,1770,6523,6314,6418,6265,761,746,717,720,0
1770,1770,6522,6201,6472,6321,762,746,717,720,0
1770,1770,6481,6285,6456,6261,762,747,717,721,0
1770,1770,6513,6275,6394,6331,762,746,717,720,0
1770,1770,6519,6255,6483,6281,762,745,718,721,0
1770,1770,6537,6252,6447,6299,761,746,717,720,0
1770,1770,6515,6253,6458,6288,762,746,717,720,0
1770,1770,6490,6236,6483,6289,762,746,716,720,0
1770,1770,6531,6296,6405,6286,761,746,717,720,0
1770,1770,6505,6219,6487,6294,762,746,717,720,0
1770,1770,6471,6289,6418,6307,762,746,717,720,0
1770,1770,6519,6327,6411,6252,762,746,717,720,0
1770,1770,6495,6202,6469,6291,761,745,717,721,0
1770,1770,6525,6237,6409,6310,762,746,717,720,0
1770,1770,6478,6245,6448,6271,761,746,717,720,0
1770,1770,6464,6223,6462,6317,762,746,717,720,0
1770,1770,6503,6278,6372,6305,761,745,717,720,0
1770,1770,6453,6270,6440,6249,761,746,717,720,0
1770,1770,6519,6317,6417,6196,761,746,717,721,0
1770,1770,6493,6338,6421,6174,762,746,717,720,0
1770,1770,6504,6249,6465,6248,762,745,717,720,0
1770,1770,6516,6301,6379,6289,761,746,717,720,0
1770,1770,6530,6210,6467,6283,761,746,717,720,0
1770,1770,6493,6299,6416,6228,762,746,717,720,0
1770,1770,6534,6265,6421,6224,762,746,717,720,0
1770,1770,6488,6258,6470,6227,761,746,717,720,0
1770,1770,6521,6300,6379,6280,761,746,717,720,0
1770,1770,6466,6243,6450,6308,762,746,717,720,0
1770,1770,6491,6233,6461,6310,762,746,717,720,0
1770,1770,6536,6284,6429,6281,761,745,717,720,0
1770,1770,6477,6273,6460,6274,761,746,717,720,0
1770,1770,6526,6320,6413,6254,762,746,717,720,0
1770,1770,6438,6355,6375,6278,762,745,717,720,0
1770,1770,6488,6240,6465,6313,762,747,717,721,0
1770,1770,6491,6288,6375,6349,762,746,717,720,0
1770,1770,6515,6232,6476,6288,762,746,717,720,0
1770,1770,6472,6325,6392,6277,762,745,717,720,0
1770,1770,6518,6270,6428,6288,761,746,717,720,0
1770,1770,6467,6273,6443,6298,762,746,717,720,0
1770,1770,6514,6251,6397,6358,762,746,717,721,0
1770,1770,6483,6258,6470,6259,762,745,717,720,0
1770,1770,6489,6244,6414,6371,762,746,717,720,0
1770,1770,6498,6238,6385,6392,762,746,717,720,0
1770,1770,6477,6251,6474,6285,762,746,717,720,0
1770,1770,6531,6278,6389,6332,762,746,717,721,0
1770,1770,6483,6269,6443,6315,761,746,717,720,0
1770,1770,6445,6324,6406,6284,762,746,717,720,0
1770,1770,6435,6387,6331,6265,761,746,717,720,0
1770,1770,6482,6234,6464,6318,762,746,717,720,0
1770,1770,6505,6238,6394,6417,762,746,717,720,0
