Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
1770,1770,2268,2307,2218,2222,731,711,697,700,0
1770,1770,2269,2307,2218,2222,731,710,697,700,0
1770,1770,2269,2307,2218,2222,731,710,698,700,0
1770,1770,2268,2307,2218,2223,730,711,697,700,0
1770,1770,2269,2307,2218,2223,732,711,697,700,0
1770,1770,2269,2307,2218,2222,732,710,698,700,0
1770,1770,2269,2308,2218,2222,731,711,697,700,0
1770,1770,2268,2307,2218,2222,731,711,697,700,0
1770,1770,2269,2308,2218,2222,731,711,697,700,0
1770,1770,2268,2307,2218,2222,731,710,697,700,0
1770,1770,2269,2308,2218,2223,731,711,698,700,0
1770,1770,2269,2307,2218,2223,731,711,698,700,0
1770,1770,2269,2308,2218,2223,731,711,698,701,0
1770,1770,2269,2308,2218,2223,731,711,697,700,0
1770,1770,2268,2307,2218,2222,731,711,698,700,0
1770,1770,2268,2307,2218,2223,731,710,697,699,0
1770,1770,2269,2307,2218,2222,731,710,697,700,0
1770,1770,2268,2308,2218,2222,731,710,697,700,0
1770,1770,2269,2308,2218,2222,731,710,698,700,0
1770,1770,2268,2307,2218,2222,731,710,697,700,0
1770,1770,2269,2308,2218,2222,731,711,697,700,0
1770,1770,2268,2308,2218,2223,731,710,697,699,0
1770,1770,2268,2307,2218,2222,731,710,697,699,0
1770,1770,2268,2308,2218,2222,731,710,697,700,0
1770,1770,2269,2307,2218,2222,731,711,697,700,0
1770,1770,2269,2307,2218,2223,731,710,697,700,0
1770,1770,2268,2308,2218,2222,730,711,697,700,0
1770,1770,2269,2308,2218,2222,730,711,697,700,0
1770,1770,2268,2307,2218,2222,731,711,697,700,0
1770,1770,2269,2307,2218,2223,731,710,697,700,0
1770,1770,2268,2307,2218,2222,731,710,697,699,0
1770,1770,2268,2307,2218,2222,731,710,698,700,0
1770,1770,2268,2308,2218,2223,731,711,697,700,0
1770,1770,2269,2308,2218,2223,731,711,698,701,0
1770,1770,2268,2307,2218,2222,731,710,697,699,0
1770,1770,2269,2308,2218,2223,731,711,697,700,0
1770,1770,2269,2308,2218,2223,731,710,697,700,0
1770,1770,2269,2307,2218,2223,732,710,698,700,0
1770,1770,2269,2308,2218,2223,731,711,697,700,0
1770,1770,2268,2307,2218,2223,731,710,697,700,0
1770,1770,2269,2307,2218,2222,731,710,697,700,0
1770,1770,2268,2308,2218,2222,731,710,697,700,0
1770,1770,2269,2308,2218,2222,731,710,697,700,0
1770,1770,2268,2307,2218,2223,731,711,697,700,0
1770,1770,2269,2307,2218,2222,731,711,697,700,0
1770,1770,2269,2307,2218,2222,731,711,697,700,0
1770,1770,2268,2307,2218,2222,731,710,697,699,0
1770,1770,2269,2307,2218,2222,731,710,698,699,0
