Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
1770,1770,5096,5114,4846,5011,736,714,699,703,0
1770,1770,5078,5077,4847,4993,733,714,699,704,0
1770,1770,5072,5050,4868,4975,733,714,699,703,0
1770,1770,5073,5104,4865,5004,733,714,699,703,0
1770,1770,5079,5048,4861,4971,733,714,699,703,0
1770,1770,5067,5089,4852,4997,733,714,699,703,0
1770,1770,5080,5101,4844,4992,733,714,699,703,0
1770,1770,5080,5066,4834,4984,733,714,699,703,0
1770,1770,5075,5081,4874,4989,733,714,699,703,0
1770,1770,5082,5075,4864,4992,732,714,699,703,0
1770,1770,5071,5069,4836,4976,733,714,699,703,0
1770,1770,5077,5113,4852,4995,732,714,699,704,0
1770,1770,5079,5058,4850,4975,732,714,699,703,0
1770,1770,5077,5076,4849,4986,732,714,699,703,0
1770,1770,5074,5090,4864,4987,733,714,699,703,0
1770,1770,5073,5044,4864,4970,733,714,699,703,0
1770,1770,5076,5109,4849,5003,733,714,699,703,0
1770,1770,5083,5088,4851,4975,733,714,699,703,0
1770,1770,5088,5071,4840,4985,733,714,699,703,0
1770,1770,5078,5105,4848,4998,733,714,699,703,0
1770,1770,5083,5069,4849,4988,732,714,699,703,0
1770,1770,5077,5079,4856,4990,733,714,699,703,0
1770,1770,5079,5117,4849,5013,733,714,699,703,0
1770,1770,5078,5063,4840,4976,733,714,699,704,0
1770,1770,5083,5088,4852,4997,733,714,699,703,0
1770,1770,5078,5088,4849,4986,732,714,699,703,0
1770,1770,5068,5039,4865,4963,733,714,699,703,0
1770,1770,5079,5125,4833,5008,733,714,699,703,0
1770,1770,5079,5074,4855,4984,733,714,699,703,0
1770,1770,5071,5040,4875,4979,733,714,700,703,0
1770,1770,5079,5084,4883,4994,733,714,699,703,0
1770,1770,5076,5063,4854,4986,733,714,699,703,0
1770,1770,5079,5106,4828,5005,733,714,699,703,0
1770,1770,5076,5096,4859,4997,733,714,699,703,0
1770,1770,5075,5040,4858,4971,733,714,700,704,0
1770,1770,5071,5067,4878,4989,733,714,699,703,0
1770,1770,5074,5069,4862,4984,733,714,699,703,0
1770,1770,5078,5066,4832,4976,733,714,699,703,0
1770,1770,5084,5109,4845,5001,733,714,699,703,0
1770,1770,5093,5067,4843,4998,732,714,699,703,0
1770,1770,5081,5073,4839,5003,733,714,699,703,0
1770,1770,5080,5109,4846,5004,733,714,699,703,0
1770,1770,5077,5056,4844,4980,733,714,699,703,0
1770,1770,5084,5087,4843,4998,732,714,699,704,0
1770,1770,5088,5092,4850,4996,733,714,699,703,0
1770,1770,5076,5055,4843,4982,733,715,699,703,0
1770,1770,5070,5076,4874,4993,733,714,699,703,0
1770,1770,5082,5093,4839,5006,733,714,699,703,0
1770,1770,5073,5061,4856,4991,732,714,699,703,0
1770,1770,5071,5085,4876,5000,732,714,699,704,0
1770,1770,5069,5044,4870,4977,733,714,699,703,0
1770,1770,5075,5070,4864,5010,732,714,699,703,0
1770,1770,5078,5122,4831,5019,733,714,699,703,0
1770,1770,5076,5052,4855,4980,733,714,699,704,0
1770,1770,5066,5073,4867,4992,732,714,699,703,0
1770,1770,5090,5079,4856,4993,733,714,699,703,0
1770,1770,5085,5073,4837,4993,733,714,699,703,0
1770,1770,5072,5103,4854,5009,733,714,699,703,0
1770,1770,5079,5067,4848,4993,733,714,700,704,0
1770,1770,5069,5064,4846,4988,733,714,699,704,0
1770,1770,5072,5095,4859,5007,733,715,699,704,0
1770,1770,5079,5055,4849,4995,732,714,700,703,0
