Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
3357,184,6112,3647,10187,10207,739,718,704,711,0
3357,184,5696,3882,10187,10206,739,718,704,711,0
3357,184,6151,3723,10186,10207,739,718,704,711,0
3357,184,6031,3710,10186,10207,739,718,705,711,0
3357,184,5767,3891,10187,10207,739,718,705,711,0
3357,184,6142,3636,10187,10208,739,718,705,711,0
3357,184,5909,3837,10186,10207,739,718,705,711,0
3357,184,5984,3767,10186,10208,739,718,704,711,0
3357,184,6163,3647,10187,10207,739,718,704,711,0
3357,184,5645,3949,10188,10207,740,719,705,712,0
3357,184,6147,3647,10187,10207,739,718,704,711,0
3357,184,6162,3745,10186,10207,739,718,705,711,0
3357,184,5554,3932,10187,10207,739,718,705,711,0
3357,184,6251,3585,10186,10207,739,718,705,712,0
3357,184,5667,3906,10187,10207,739,718,705,711,0
3357,184,5970,3742,10187,10207,739,718,705,712,0
3357,184,6125,3601,10187,10207,739,718,704,711,0
3357,184,5259,4004,10187,10207,739,718,704,712,0
3357,184,6109,3606,10186,10207,739,718,705,711,0
3357,184,6093,3732,10187,10206,739,718,704,711,0
3357,184,5494,3911,10186,10207,739,718,705,711,0
3357,184,6195,3538,10186,10207,738,718,705,711,0
3357,184,5397,3944,10187,10208,739,718,705,711,0
3357,184,6010,3717,10187,10207,739,718,704,710,0
3357,184,6101,3639,10187,10207,739,718,704,711,0
3357,184,5333,3984,10188,10208,739,718,705,711,0
3357,184,6229,3600,10186,10207,740,718,704,711,0
3357,184,6041,3779,10187,10207,739,718,705,711,0
3357,184,5701,3887,10187,10207,739,718,704,711,0
3357,184,6182,3592,10186,10208,738,718,704,711,0
3357,184,5533,3917,10188,10208,739,718,704,711,0
3357,184,5940,3708,10187,10208,739,718,705,711,0
3357,184,6062,3660,10187,10207,739,718,705,711,0
3357,184,5370,3991,10188,10207,739,718,704,711,0
3357,184,6084,3606,10186,10207,740,718,705,711,0
