Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
184,3357,6716,8549,9439,9964,737,717,704,710,0
184,3357,6422,8640,9776,9902,737,717,704,711,0
184,3357,6626,8590,9570,9886,738,718,704,711,0
184,3357,6637,8547,9666,9981,737,718,704,711,0
184,3357,6664,8670,9684,9762,737,717,704,711,0
184,3357,6828,8392,9329,10125,738,717,704,710,0
184,3357,6432,8774,9590,9756,738,717,704,711,0
184,3357,6492,8577,9664,9954,738,717,704,711,0
184,3357,6840,8589,9386,9900,738,717,703,711,0
184,3357,6387,8876,9665,9699,739,717,704,711,0
184,3357,6812,8378,9484,10100,738,717,704,711,0
184,3357,6704,8649,9667,9722,737,717,704,711,0
184,3357,6454,8685,9595,9969,738,718,704,711,0
184,3357,6895,8477,9369,9979,738,717,704,710,0
184,3357,6312,9049,9684,9364,738,717,704,711,0
184,3357,6728,8560,9475,9953,737,718,704,711,0
184,3357,6708,8690,9693,9661,738,718,704,711,0
184,3357,6591,8727,9757,9719,738,717,704,711,0
184,3357,6864,8651,9153,9918,738,718,704,711,0
184,3357,6312,8970,9754,9439,737,717,704,711,0
184,3357,6867,8584,9485,9959,738,717,703,711,0
184,3357,6693,8648,9444,9887,738,717,704,711,0
184,3357,6360,9050,9734,9485,738,718,703,711,0
184,3357,6883,8635,9344,9887,738,718,704,711,0
184,3357,6354,8861,9727,9652,738,718,704,711,0
184,3357,6752,8638,9605,9782,738,717,704,711,0
184,3357,6847,8596,9455,9885,738,718,705,711,0
184,3357,6236,9040,9725,9470,738,717,704,711,0
184,3357,6636,8553,9429,9861,738,718,704,711,0
184,3357,6575,8649,9563,9850,738,717,704,711,0
184,3357,6376,8716,9654,9840,738,717,704,711,0
184,3357,6869,8560,9389,9973,737,718,704,711,0
184,3357,6404,8928,9730,9506,738,718,704,711,0
184,3357,6617,8604,9550,9840,738,718,704,711,0
184,3357,6703,8647,9485,9989,738,717,704,710,0
184,3357,6471,8808,9782,9701,738,717,704,711,0
184,3357,6911,8614,9279,9962,737,717,704,710,0
184,3357,6422,8692,9620,9942,738,717,704,711,0
184,3357,6572,8547,9566,9875,738,718,704,711,0
184,3357,6675,8623,9608,9920,738,718,705,712,0
184,3357,6391,8679,9737,9712,738,717,704,711,0
184,3357,6830,8475,9264,9991,738,718,704,711,0
184,3357,6519,8696,9596,9707,738,717,704,710,0
184,3357,6557,8563,9519,9913,738,717,704,712,0
184,3357,6634,8546,9548,9816,737,718,704,711,0
184,3357,6427,8674,9647,9753,738,717,703,712,0
184,3357,6683,8450,9310,10014,738,717,704,711,0
184,3357,6379,8836,9660,9576,737,718,704,711,0
184,3357,6445,8591,9562,10024,738,717,705,711,0
184,3357,6660,8495,9462,9942,738,717,704,711,0
184,3357,6372,8869,9633,9512,738,717,704,711,0
184,3357,6634,8509,9234,10012,738,717,704,711,0
184,3357,6385,8670,9657,9934,737,717,704,711,0
184,3357,6553,8675,9590,9724,738,717,703,711,0
184,3357,6672,8464,9538,10024,738,717,704,711,0
184,3357,6291,8842,9718,9743,738,717,704,711,0
184,3357,6540,8476,9518,10085,738,717,704,711,0
184,3357,6509,8626,9630,9830,738,718,704,711,0
184,3357,6288,8791,9778,9496,738,717,704,712,0
184,3357,6786,8305,9348,10140,738,717,704,710,0
184,3357,6346,8916,9685,9523,738,718,704,711,0
184,3357,6689,8499,9518,9936,737,717,703,711,0
184,3357,6765,8568,9558,9880,738,717,704,711,0
184,3357,6197,8688,9840,9837,738,718,704,711,0
184,3357,6706,8285,9353,10169,738,717,705,711,0
184,3357,6579,8627,9622,9732,738,718,704,711,0
184,3357,6134,8635,9690,9808,738,717,704,711,0
184,3357,6762,8357,9380,10089,738,718,704,711,0
184,3357,6117,8775,9835,9582,738,718,704,711,0
184,3357,6735,8477,9511,10026,738,717,704,710,0
184,3357,6809,8613,9682,9791,737,717,704,711,0
184,3357,6166,8767,9810,9781,738,717,704,711,0
184,3357,6796,8517,9410,10019,738,717,704,711,0
184,3357,6404,8783,9809,9569,738,718,705,712,0
184,3357,6617,8483,9644,10011,738,717,704,711,0
184,3357,6683,8641,9668,9723,737,717,704,711,0
184,3357,6409,8750,9766,9672,738,718,704,711,0
184,3357,6763,8547,9416,9952,738,717,704,711,0
184,3357,6188,8868,9622,9499,738,718,704,711,0
184,3357,6601,8545,9693,9819,738,718,704,711,0
184,3357,6764,8526,9479,9957,738,718,704,712,0
184,3357,6303,8777,9803,9539,738,718,704,711,0
184,3357,6716,8554,9529,9926,737,718,704,711,0
184,3357,6426,8808,9767,9633,738,718,704,711,0
184,3357,6484,8656,9658,9768,738,717,704,710,0
184,3357,6711,8513,9662,9962,738,718,704,711,0
184,3357,6350,8795,9699,9669,738,717,704,712,0
184,3357,6792,8434,9447,10098,737,717,703,710,0
184,3357,6257,8748,9715,9820,737,717,704,712,0
184,3357,6650,8568,9642,9866,738,718,704,711,0
184,3357,6824,8540,9567,9988,738,718,704,711,0
184,3357,6347,8929,9780,9505,738,718,704,711,0
184,3357,6834,8550,9518,9958,738,717,704,711,0
184,3357,6461,8743,9716,9730,738,717,704,711,0
184,3357,6285,8823,9737,9664,738,717,704,711,0
184,3357,6795,8610,9385,9947,738,718,704,711,0
184,3357,6267,8949,9785,9504,737,717,705,711,0
184,3357,6731,8572,9488,10026,738,718,703,711,0
184,3357,6604,8732,9585,9797,738,717,704,711,0
184,3357,6217,8838,9823,9707,738,718,704,711,0
184,3357,6903,8554,9485,9974,738,717,703,711,0
184,3357,6247,8871,9793,9596,737,717,704,711,0
184,3357,6622,8679,9660,9873,738,717,704,711,0
184,3357,6771,8731,9564,9787,738,717,704,711,0
184,3357,6297,8937,9778,9570,737,717,704,711,0
184,3357,6800,8538,9464,9946,738,717,704,711,0
184,3357,6349,8862,9617,9620,738,718,704,711,0
184,3357,6502,8741,9699,9761,737,717,704,711,0
184,3357,6667,8734,9484,9796,738,718,705,712,0
184,3357,6178,8923,9798,9472,738,718,704,712,0
184,3357,6795,8657,9376,9794,738,718,704,711,0
184,3357,6538,8827,9506,9749,738,717,704,711,0
184,3357,6316,8774,9632,9646,738,718,704,711,0
