Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
184,184,10082,9768,7069,7717,739,717,705,710,0
184,184,9367,9914,7961,7117,739,717,705,710,0
184,184,9498,9962,8025,7296,739,718,704,711,0
184,184,10035,9800,7226,7619,739,717,705,710,0
184,184,9024,10067,8478,7123,739,717,705,710,0
184,184,9898,9771,7415,7661,738,717,705,710,0
184,184,9602,9769,7865,7417,738,717,704,710,0
184,184,9190,10034,8230,7200,738,717,704,710,0
184,184,10121,9758,7117,7721,739,718,704,710,0
184,184,8985,9988,8303,7098,738,717,704,710,0
184,184,9829,9844,7651,7675,738,717,704,710,0
184,184,9773,9847,7675,7543,739,718,704,710,0
184,184,9281,9947,8169,7202,739,717,704,710,0
184,184,10033,9866,7179,7547,739,717,705,710,0
184,184,9409,9834,8188,7278,738,716,704,710,0
184,184,9800,9807,7713,7374,739,717,704,709,0
184,184,9887,9751,7549,7610,738,717,704,710,0
184,184,9210,9935,8355,7220,738,717,705,709,0
184,184,9946,9799,7234,7555,739,718,705,711,0
184,184,9397,9945,7966,7164,738,717,705,709,0
184,184,9733,9890,7739,7450,739,717,704,710,0
184,184,9937,9836,7380,7664,739,717,704,710,0
184,184,9199,9936,8239,7263,738,717,705,709,0
184,184,9934,9764,7264,7664,739,717,705,710,0
184,184,9527,9834,7936,7369,738,717,704,710,0
184,184,9659,9847,7787,7350,739,718,705,710,0
184,184,9977,9873,7297,7530,739,717,705,710,0
184,184,9113,10018,8274,7112,739,717,705,710,0
184,184,9998,9756,7275,7737,739,717,705,710,0
184,184,9344,9981,7841,7230,739,717,705,710,0
184,184,9343,9846,8051,7305,739,717,705,711,0
184,184,10016,9719,7245,7719,739,717,704,710,0
184,184,9105,10036,8310,7253,739,717,705,710,0
184,184,9876,9792,7472,7576,739,717,705,710,0
184,184,9661,9827,7826,7407,739,717,705,710,0
184,184,9429,9922,8119,7357,739,717,704,710,0
184,184,10119,9727,7095,7894,739,717,705,710,0
184,184,9084,10058,8267,7228,738,717,705,709,0
184,184,9835,9932,7498,7560,738,717,704,710,0
184,184,9862,9778,7513,7592,739,717,704,710,0
184,184,9137,10023,8386,7290,738,717,705,710,0
184,184,10076,9817,7214,7756,739,718,706,710,0
184,184,9342,9875,8180,7287,738,717,704,709,0
184,184,9467,9993,7876,7268,739,717,704,709,0
184,184,9971,9839,7286,7614,739,717,705,710,0
184,184,9274,9966,8291,7231,738,717,704,709,0
184,184,10070,9866,7261,7641,739,717,705,710,0
184,184,9417,9893,8133,7251,739,717,704,710,0
184,184,9272,9876,8039,7261,739,718,705,710,0
184,184,10083,9885,7218,7541,739,718,705,710,0
184,184,9322,9988,8322,7105,738,717,705,710,0
184,184,10025,9850,7489,7566,739,717,704,710,0
184,184,9375,9940,7744,7292,738,717,704,709,0
184,184,9434,9838,8211,7315,739,717,705,710,0
184,184,10041,9822,7108,7642,739,717,704,710,0
184,184,9171,9975,8148,7095,739,717,705,711,0
184,184,9833,9815,7561,7518,739,717,704,709,0
184,184,9546,9714,7606,7326,739,717,705,710,0
184,184,9099,9922,8282,7160,739,717,705,710,0
184,184,9849,9860,7210,7458,738,717,705,710,0
184,184,9088,9891,8052,7166,739,718,704,710,0
184,184,9431,9901,7823,7290,739,717,704,709,0
184,184,9564,9885,7534,7314,739,717,706,710,0
184,184,9139,9953,8109,7039,739,717,704,709,0
184,184,9898,9800,7276,7430,739,717,704,709,0
184,184,9197,9937,8032,7084,739,717,704,710,0
184,184,9582,9753,7857,7228,739,717,705,710,0
184,184,9557,9753,7626,7348,739,717,704,710,0
184,184,9127,10004,8209,7122,738,717,704,709,0
184,184,9667,9904,7466,7389,740,718,705,711,0
184,184,9302,9866,8125,7254,738,717,705,710,0
184,184,9249,9839,7933,7196,739,717,704,710,0
184,184,9726,9904,7453,7447,739,717,704,710,0
184,184,9221,9950,8287,7237,739,717,704,710,0
184,184,9793,9997,7432,7554,739,717,705,710,0
184,184,9075,10020,7939,7109,738,717,704,710,0
184,184,9181,10013,8055,7192,739,718,706,711,0
184,184,9586,9862,7471,7587,739,717,705,710,0
